Code,Species_code,Species,Linkage_Group,Total_cM,NCBI_Chromosome,SeqID,Physical_Length_bp,L_coding_bp,Gene_Count,Coding_Density,Assembly_Level,M_morgans,Physical_Length_Mb,recomb_rate
SSH,ovis_aries,Ovis aries,3,262.484,3,NC_056056.1,226089100,3590673,2943,0.015881672,Chromosome,2.62484,226.0891,1.160975916
SSH,ovis_aries,Ovis aries,4,148.877,4,NC_056057.1,121578099,1251159,1062,0.01029099,Chromosome,1.48877,121.578099,1.224537982
SSH,ovis_aries,Ovis aries,5,139.738,5,NC_056058.1,108220788,2053351,1633,0.018973721,Chromosome,1.39738,108.220788,1.291230664
SSH,ovis_aries,Ovis aries,6,141.183,6,NC_056059.1,118469697,1035829,869,0.008743409,Chromosome,1.41183,118.469697,1.191722471
SSH,ovis_aries,Ovis aries,7,134.691,7,NC_056060.1,101274418,1605776,1376,0.015855692,Chromosome,1.34691,101.274418,1.329960741
SSH,ovis_aries,Ovis aries,8,112.929,8,NC_056061.1,91792871,836526,712,0.009113191,Chromosome,1.12929,91.792871,1.230258938
SSH,ovis_aries,Ovis aries,9,115.373,9,NC_056062.1,95179658,846423,746,0.008892898,Chromosome,1.15373,95.179658,1.212160271
SSH,ovis_aries,Ovis aries,10,106.752,10,NC_056063.1,86459471,707428,568,0.008182192,Chromosome,1.06752,86.459471,1.234705681
SSH,ovis_aries,Ovis aries,11,100.823,11,NC_056064.1,62547497,2006297,1641,0.032076375,Chromosome,1.00823,62.547497,1.611943001
SSH,ovis_aries,Ovis aries,12,112.057,12,NC_056065.1,80403655,1211570,940,0.015068594,Chromosome,1.12057,80.403655,1.393680424
SSH,ovis_aries,Ovis aries,13,113.009,13,NC_056066.1,83511835,1196716,1092,0.014329897,Chromosome,1.13009,83.511835,1.353209398
SSH,ovis_aries,Ovis aries,14,98.447,14,NC_056067.1,66516657,2065044,1629,0.031045517,Chromosome,0.98447,66.516657,1.480035294
SSH,ovis_aries,Ovis aries,15,102.363,15,NC_056068.1,82538637,1372371,1178,0.016627013,Chromosome,1.02363,82.538637,1.240182825
SSH,ovis_aries,Ovis aries,16,90.306,16,NC_056069.1,71897364,571235,515,0.007945145,Chromosome,0.90306,71.897364,1.256040486
SSH,ovis_aries,Ovis aries,17,98.286,17,NC_056070.1,73167223,1065470,848,0.014562122,Chromosome,0.98286,73.167223,1.343306415
SSH,ovis_aries,Ovis aries,18,98.465,18,NC_056071.1,67984460,926645,873,0.013630247,Chromosome,0.98465,67.98446,1.448345695
SSH,ovis_aries,Ovis aries,19,87.643,19,NC_056072.1,60561550,1018171,759,0.016812169,Chromosome,0.87643,60.56155,1.44717234
SSH,ovis_aries,Ovis aries,20,75.485,20,NC_056073.1,51451717,1047225,1139,0.020353548,Chromosome,0.75485,51.451717,1.467103615
SSH,ovis_aries,Ovis aries,21,72.025,21,NC_056074.1,47514194,1018931,824,0.021444771,Chromosome,0.72025,47.514194,1.515862818
SSH,ovis_aries,Ovis aries,22,73.6,22,NC_056075.1,51512491,677485,557,0.013151859,Chromosome,0.736,51.512491,1.428779672
SSH,ovis_aries,Ovis aries,23,86.844,23,NC_056076.1,62440644,571219,470,0.009148192,Chromosome,0.86844,62.440644,1.390824861
SSH,ovis_aries,Ovis aries,24,71.946,24,NC_056077.1,42630236,1238550,979,0.029053323,Chromosome,0.71946,42.630236,1.687675386
SSH,ovis_aries,Ovis aries,25,69.641,25,NC_056078.1,44863754,543802,442,0.012121188,Chromosome,0.69641,44.863754,1.552277591
SSH,ovis_aries,Ovis aries,26,65.241,26,NC_056079.1,45052359,388056,381,0.008613445,Chromosome,0.65241,45.052359,1.44811507
SSH,ovis_aries,Ovis aries,X,168.811,X,NC_056080.1,143171725,1453355,1348,0.010151131,Chromosome,1.68811,143.171725,1.179080576
RD,cervus_elaphus,Cervus elaphus,1,88.7,1,NC_057815.1,99365844,1631900,1451,0.016423148,Chromosome,0.887,99.365844,0.892660862
RD,cervus_elaphus,Cervus elaphus,2,55.4,2,NC_057816.1,50834548,1056857,886,0.020790133,Chromosome,0.554,50.834548,1.089810024
RD,cervus_elaphus,Cervus elaphus,3,63.8,3,NC_057817.1,55858895,878800,721,0.015732499,Chromosome,0.638,55.858895,1.142163661
RD,cervus_elaphus,Cervus elaphus,4,81.3,4,NC_057818.1,68741660,2123936,1709,0.030897363,Chromosome,0.813,68.74166,1.182688925
RD,cervus_elaphus,Cervus elaphus,5,126.8,5,NC_057819.1,134755514,3107304,2496,0.023058826,Chromosome,1.268,134.755514,0.940963351
RD,cervus_elaphus,Cervus elaphus,6,59.6,6,NC_057820.1,51846305,615095,509,0.011863816,Chromosome,0.596,51.846305,1.149551545
RD,cervus_elaphus,Cervus elaphus,7,64,7,NC_057821.1,52316097,1082353,1216,0.020688718,Chromosome,0.64,52.316097,1.223332849
RD,cervus_elaphus,Cervus elaphus,8,62.1,8,NC_057822.1,55694185,949173,770,0.017042587,Chromosome,0.621,55.694185,1.115017663
RD,cervus_elaphus,Cervus elaphus,9,109.4,9,NC_057823.1,109724705,2092051,1733,0.019066362,Chromosome,1.094,109.724705,0.99704073
RD,cervus_elaphus,Cervus elaphus,10,55.3,10,NC_057824.1,55766398,1253841,971,0.022483808,Chromosome,0.553,55.766398,0.991636577
RD,cervus_elaphus,Cervus elaphus,11,101.3,11,NC_057825.1,103264037,1648826,1338,0.015967088,Chromosome,1.013,103.264037,0.980980436
RD,cervus_elaphus,Cervus elaphus,12,104.2,12,NC_057826.1,100048917,1652184,1479,0.016513762,Chromosome,1.042,100.048917,1.041490534
RD,cervus_elaphus,Cervus elaphus,13,76.3,13,NC_057827.1,72175023,939736,928,0.013020238,Chromosome,0.763,72.175023,1.057152417
RD,cervus_elaphus,Cervus elaphus,14,85,14,NC_057828.1,81685338,1233832,956,0.015104694,Chromosome,0.85,81.685338,1.040578421
RD,cervus_elaphus,Cervus elaphus,15,96.4,15,NC_057829.1,94138249,1243226,1090,0.013206385,Chromosome,0.964,94.138249,1.024025845
RD,cervus_elaphus,Cervus elaphus,16,54.8,16,NC_057830.1,47758366,599091,536,0.012544211,Chromosome,0.548,47.758366,1.147442942
RD,cervus_elaphus,Cervus elaphus,17,67,17,NC_057831.1,65067212,457659,433,0.007033635,Chromosome,0.67,65.067212,1.029704485
RD,cervus_elaphus,Cervus elaphus,18,108,18,NC_057832.1,125768775,1259119,1143,0.01001138,Chromosome,1.08,125.768775,0.858718708
RD,cervus_elaphus,Cervus elaphus,19,99.3,19,NC_057833.1,115140355,1106928,972,0.009613728,Chromosome,0.993,115.140355,0.862425689
RD,cervus_elaphus,Cervus elaphus,20,112.9,20,NC_057834.1,140935159,2056957,1979,0.014595059,Chromosome,1.129,140.935159,0.801077608
RD,cervus_elaphus,Cervus elaphus,21,85.5,21,NC_057835.1,83473711,854482,705,0.01023654,Chromosome,0.855,83.473711,1.024274577
RD,cervus_elaphus,Cervus elaphus,22,65.2,22,NC_057836.1,85849967,1171285,965,0.013643395,Chromosome,0.652,85.849967,0.759464474
RD,cervus_elaphus,Cervus elaphus,23,95.1,23,NC_057837.1,82663824,1264265,1207,0.015294054,Chromosome,0.951,82.663824,1.150442786
RD,cervus_elaphus,Cervus elaphus,24,69.7,24,NC_057838.1,71624245,1057942,837,0.014770725,Chromosome,0.697,71.624245,0.973134167
RD,cervus_elaphus,Cervus elaphus,25,76,25,NC_057839.1,71803109,586854,476,0.0081731,Chromosome,0.76,71.803109,1.05844999
RD,cervus_elaphus,Cervus elaphus,26,51.7,26,NC_057840.1,50001067,457614,388,0.009152085,Chromosome,0.517,50.001067,1.033977935
RD,cervus_elaphus,Cervus elaphus,27,62.2,27,NC_057841.1,64514562,572287,486,0.008870664,Chromosome,0.622,64.514562,0.964123418
RD,cervus_elaphus,Cervus elaphus,28,64.7,28,NC_057842.1,64362491,472876,423,0.007347074,Chromosome,0.647,64.362491,1.005243877
RD,cervus_elaphus,Cervus elaphus,29,65.9,29,NC_057843.1,63760408,627774,551,0.009845828,Chromosome,0.659,63.760408,1.033556749
RD,cervus_elaphus,Cervus elaphus,30,86.9,30,NC_057844.1,86197926,738073,622,0.008562538,Chromosome,0.869,86.197926,1.008144906
RD,cervus_elaphus,Cervus elaphus,31,59.1,31,NC_057845.1,55169878,339093,356,0.006146343,Chromosome,0.591,55.169878,1.071236735
RD,cervus_elaphus,Cervus elaphus,32,56.7,32,NC_057846.1,52234794,405158,399,0.007756477,Chromosome,0.567,52.234794,1.085483366
RD,cervus_elaphus,Cervus elaphus,33,80.8,33,NC_057847.1,79323360,779640,521,0.009828631,Chromosome,0.808,79.32336,1.018615449
RD,cervus_elaphus,Cervus elaphus,X,148.7,X,NC_057848.1,179953079,1577004,1653,0.008763418,Chromosome,1.487,179.953079,0.826326511
GTU,parus_major,Parus major (UK),1,139.88,1,NC_031768.1,114059860,2138828,1488,0.018751803,Chromosome,1.3988,114.05986,1.22637359
GTU,parus_major,Parus major (UK),1A,93.58,1A,NC_031773.1,71365269,1539447,1069,0.021571375,Chromosome,0.9358,71.365269,1.311282103
GTU,parus_major,Parus major (UK),2,139.69,2,NC_031769.1,150265477,2448090,1732,0.016291766,Chromosome,1.3969,150.265477,0.929621379
GTU,parus_major,Parus major (UK),3,114.87,3,NC_031770.1,111636321,2204320,1476,0.019745545,Chromosome,1.1487,111.636321,1.028966191
GTU,parus_major,Parus major (UK),4,97.65,4,NC_031771.1,68030631,1391826,963,0.020458814,Chromosome,0.9765,68.030631,1.435382835
GTU,parus_major,Parus major (UK),4A,59.38,4A,NC_031772.1,19934923,570897,434,0.028638034,Chromosome,0.5938,19.934923,2.978692218
GTU,parus_major,Parus major (UK),5,98.57,5,NC_031774.1,61875929,1757229,1149,0.028399234,Chromosome,0.9857,61.875929,1.593026587
GTU,parus_major,Parus major (UK),6,78.02,6,NC_031775.1,34342011,971782,635,0.028297178,Chromosome,0.7802,34.342011,2.271852979
GTU,parus_major,Parus major (UK),7,72.64,7,NC_031776.1,37653027,1160395,633,0.030818107,Chromosome,0.7264,37.653027,1.929194165
GTU,parus_major,Parus major (UK),8,53.83,8,NC_031777.1,31324166,913547,628,0.029164288,Chromosome,0.5383,31.324166,1.718481507
GTU,parus_major,Parus major (UK),9,54.2,9,NC_031778.1,25106277,757586,541,0.030175163,Chromosome,0.542,25.106277,2.158822672
GTU,parus_major,Parus major (UK),10,50.47,10,NC_031779.1,20202851,777271,494,0.038473332,Chromosome,0.5047,20.202851,2.498162264
GTU,parus_major,Parus major (UK),11,58.23,11,NC_031780.1,20315886,639617,480,0.031483589,Chromosome,0.5823,20.315886,2.866229905
GTU,parus_major,Parus major (UK),12,51.92,12,NC_031781.1,20466350,676424,435,0.033050544,Chromosome,0.5192,20.46635,2.536847068
GTU,parus_major,Parus major (UK),13,40.95,13,NC_031782.1,16480340,544656,377,0.033048833,Chromosome,0.4095,16.48034,2.484778833
GTU,parus_major,Parus major (UK),14,49.2,14,NC_031783.1,16193477,759628,462,0.046909506,Chromosome,0.492,16.193477,3.038260406
GTU,parus_major,Parus major (UK),15,49.15,15,NC_031784.1,13820886,679160,452,0.04914012,Chromosome,0.4915,13.820886,3.556211953
GTU,parus_major,Parus major (UK),17,45.36,17,NC_031785.1,10486032,531581,328,0.0506942,Chromosome,0.4536,10.486032,4.325754489
GTU,parus_major,Parus major (UK),18,49.91,18,NC_031786.1,11572643,587178,377,0.050738453,Chromosome,0.4991,11.572643,4.31275725
GTU,parus_major,Parus major (UK),19,49.43,19,NC_031787.1,9871655,562496,375,0.056980922,Chromosome,0.4943,9.871655,5.007265752
GTU,parus_major,Parus major (UK),20,49.44,20,NC_031788.1,14661763,590429,403,0.040269987,Chromosome,0.4944,14.661763,3.372036501
GTU,parus_major,Parus major (UK),21,46.76,21,NC_031789.1,7693166,456425,285,0.05932863,Chromosome,0.4676,7.693166,6.078121803
GTU,parus_major,Parus major (UK),22,57.69,22,NC_031790.1,4276343,242403,193,0.056684649,Chromosome,0.5769,4.276343,13.49049877
GTU,parus_major,Parus major (UK),23,51.43,23,NC_031791.1,6655392,373838,273,0.056170696,Chromosome,0.5143,6.655392,7.727568864
GTU,parus_major,Parus major (UK),24,49.51,24,NC_031792.1,6808513,303284,191,0.044544822,Chromosome,0.4951,6.808513,7.271778728
GTU,parus_major,Parus major (UK),25A,4.43,25LG1,NC_031793.1,1092960,145770,89,0.133371761,Chromosome,0.0443,1.09296,4.053213292
GTU,parus_major,Parus major (UK),25B,3.68,25LG2,NC_031794.1,809223,115007,101,0.142120281,Chromosome,0.0368,0.809223,4.547572177
GTU,parus_major,Parus major (UK),26,53.45,26,NC_031795.1,6596997,426565,303,0.064660481,Chromosome,0.5345,6.596997,8.102171336
GTU,parus_major,Parus major (UK),27,49.15,27,NC_031796.1,4327975,362020,246,0.083646509,Chromosome,0.4915,4.327975,11.35635026
GTU,parus_major,Parus major (UK),28,48.7,28,NC_031797.1,5101010,403982,275,0.079196473,Chromosome,0.487,5.10101,9.547128902
GTU,parus_major,Parus major (UK),Z,51.21,Z,NC_031799.1,74514349,1366142,953,0.018333945,Chromosome,0.5121,74.514349,0.687250183
GTU,parus_major,Parus major (UK),LGE22,4.44,LGE22,NC_031798.1,773534,75079,52,0.097059728,Chromosome,0.0444,0.773534,5.739889908
GTN,parus_major,Parus major (NL),1,138.15,1,NC_031768.1,114059860,2138828,1488,0.018751803,Chromosome,1.3815,114.05986,1.211206116
GTN,parus_major,Parus major (NL),1A,112.82,1A,NC_031773.1,71365269,1539447,1069,0.021571375,Chromosome,1.1282,71.365269,1.580881031
GTN,parus_major,Parus major (NL),2,127.41,2,NC_031769.1,150265477,2448090,1732,0.016291766,Chromosome,1.2741,150.265477,0.847899348
GTN,parus_major,Parus major (NL),3,107.05,3,NC_031770.1,111636321,2204320,1476,0.019745545,Chromosome,1.0705,111.636321,0.958917304
GTN,parus_major,Parus major (NL),4,97.33,4,NC_031771.1,68030631,1391826,963,0.020458814,Chromosome,0.9733,68.030631,1.430679072
GTN,parus_major,Parus major (NL),4A,65.52,4A,NC_031772.1,19934923,570897,434,0.028638034,Chromosome,0.6552,19.934923,3.286694411
GTN,parus_major,Parus major (NL),5,101.05,5,NC_031774.1,61875929,1757229,1149,0.028399234,Chromosome,1.0105,61.875929,1.633106793
GTN,parus_major,Parus major (NL),6,78.07,6,NC_031775.1,34342011,971782,635,0.028297178,Chromosome,0.7807,34.342011,2.273308922
GTN,parus_major,Parus major (NL),7,83.67,7,NC_031776.1,37653027,1160395,633,0.030818107,Chromosome,0.8367,37.653027,2.222132101
GTN,parus_major,Parus major (NL),8,49.74,8,NC_031777.1,31324166,913547,628,0.029164288,Chromosome,0.4974,31.324166,1.587911391
GTN,parus_major,Parus major (NL),9,56.57,9,NC_031778.1,25106277,757586,541,0.030175163,Chromosome,0.5657,25.106277,2.253221376
GTN,parus_major,Parus major (NL),10,56.67,10,NC_031779.1,20202851,777271,494,0.038473332,Chromosome,0.5667,20.202851,2.805049644
GTN,parus_major,Parus major (NL),11,58.49,11,NC_031780.1,20315886,639617,480,0.031483589,Chromosome,0.5849,20.315886,2.879027772
GTN,parus_major,Parus major (NL),12,55.42,12,NC_031781.1,20466350,676424,435,0.033050544,Chromosome,0.5542,20.46635,2.707859486
GTN,parus_major,Parus major (NL),13,54.17,13,NC_031782.1,16480340,544656,377,0.033048833,Chromosome,0.5417,16.48034,3.28694675
GTN,parus_major,Parus major (NL),14,51.65,14,NC_031783.1,16193477,759628,462,0.046909506,Chromosome,0.5165,16.193477,3.189555893
GTN,parus_major,Parus major (NL),15,48.93,15,NC_031784.1,13820886,679160,452,0.04914012,Chromosome,0.4893,13.820886,3.540294016
GTN,parus_major,Parus major (NL),17,50.05,17,NC_031785.1,10486032,531581,328,0.0506942,Chromosome,0.5005,10.486032,4.773016142
GTN,parus_major,Parus major (NL),18,51.02,18,NC_031786.1,11572643,587178,377,0.050738453,Chromosome,0.5102,11.572643,4.40867311
GTN,parus_major,Parus major (NL),19,51.52,19,NC_031787.1,9871655,562496,375,0.056980922,Chromosome,0.5152,9.871655,5.218983038
GTN,parus_major,Parus major (NL),20,50.94,20,NC_031788.1,14661763,590429,403,0.040269987,Chromosome,0.5094,14.661763,3.474343433
GTN,parus_major,Parus major (NL),21,53.08,21,NC_031789.1,7693166,456425,285,0.05932863,Chromosome,0.5308,7.693166,6.899630139
GTN,parus_major,Parus major (NL),22,55.75,22,NC_031790.1,4276343,242403,193,0.056684649,Chromosome,0.5575,4.276343,13.03684012
GTN,parus_major,Parus major (NL),23,40.33,23,NC_031791.1,6655392,373838,273,0.056170696,Chromosome,0.4033,6.655392,6.059748246
GTN,parus_major,Parus major (NL),24,52.33,24,NC_031792.1,6808513,303284,191,0.044544822,Chromosome,0.5233,6.808513,7.685966084
GTN,parus_major,Parus major (NL),25A,4.58,25LG1,NC_031793.1,1092960,145770,89,0.133371761,Chromosome,0.0458,1.09296,4.190455277
GTN,parus_major,Parus major (NL),25B,5.76,25LG2,NC_031794.1,809223,115007,101,0.142120281,Chromosome,0.0576,0.809223,7.11793906
GTN,parus_major,Parus major (NL),26,54.91,26,NC_031795.1,6596997,426565,303,0.064660481,Chromosome,0.5491,6.596997,8.323484155
GTN,parus_major,Parus major (NL),27,54.32,27,NC_031796.1,4327975,362020,246,0.083646509,Chromosome,0.5432,4.327975,12.55090429
GTN,parus_major,Parus major (NL),28,52.43,28,NC_031797.1,5101010,403982,275,0.079196473,Chromosome,0.5243,5.10101,10.27835664
GTN,parus_major,Parus major (NL),Z,55.53,Z,NC_031799.1,74514349,1366142,953,0.018333945,Chromosome,0.5553,74.514349,0.745225594
GTN,parus_major,Parus major (NL),LGE22,34.59,LGE22,NC_031798.1,773534,75079,52,0.097059728,Chromosome,0.3459,0.773534,44.71684503
CF,ficedula_albicollis,Ficedula albicollis,1,246.2,1,NC_021671.1,120002344,2034816,1188,0.016956469,Chromosome,2.462,120.002344,2.051626592
CF,ficedula_albicollis,Ficedula albicollis,1A,206.1,1A,NC_021672.1,74947036,1515513,957,0.02022112,Chromosome,2.061,74.947036,2.749941972
CF,ficedula_albicollis,Ficedula albicollis,2,316.1,2,NC_021673.1,157563209,2401031,1457,0.015238526,Chromosome,3.161,157.563209,2.006178993
CF,ficedula_albicollis,Ficedula albicollis,3,225.9,3,NC_021674.1,115844353,2128250,1190,0.018371634,Chromosome,2.259,115.844353,1.950030314
CF,ficedula_albicollis,Ficedula albicollis,4,167.2,4,NC_021675.1,70439523,1262945,730,0.017929494,Chromosome,1.672,70.439523,2.373667408
CF,ficedula_albicollis,Ficedula albicollis,4A,80.3,4A,NC_021676.1,21182716,543484,353,0.025656955,Chromosome,0.803,21.182716,3.790826445
CF,ficedula_albicollis,Ficedula albicollis,5,170.4,5,NC_021677.1,64724594,1752126,1006,0.027070483,Chromosome,1.704,64.724594,2.632693223
CF,ficedula_albicollis,Ficedula albicollis,6,121.3,6,NC_021678.1,37227452,969734,561,0.026048895,Chromosome,1.213,37.227452,3.258348167
CF,ficedula_albicollis,Ficedula albicollis,7,122.5,7,NC_021679.1,39412007,1128745,527,0.028639622,Chromosome,1.225,39.412007,3.108189847
CF,ficedula_albicollis,Ficedula albicollis,8,96,8,NC_021680.1,32100816,926856,552,0.028873285,Chromosome,0.96,32.100816,2.990578183
CF,ficedula_albicollis,Ficedula albicollis,9,96.6,9,NC_021681.1,26793321,749456,459,0.027971747,Chromosome,0.966,26.793321,3.605376131
CF,ficedula_albicollis,Ficedula albicollis,10,94,10,NC_021682.1,21346708,766900,420,0.035925914,Chromosome,0.94,21.346708,4.403489287
CF,ficedula_albicollis,Ficedula albicollis,11,81,11,NC_021683.1,21727166,646809,400,0.029769598,Chromosome,0.81,21.727166,3.728051785
CF,ficedula_albicollis,Ficedula albicollis,12,84.7,12,NC_021684.1,21938106,668188,374,0.030457871,Chromosome,0.847,21.938106,3.860862009
CF,ficedula_albicollis,Ficedula albicollis,13,87.8,13,NC_021685.1,18641552,532393,337,0.028559478,Chromosome,0.878,18.641552,4.709908274
CF,ficedula_albicollis,Ficedula albicollis,14,87.6,14,NC_021686.1,17374186,742053,420,0.042710087,Chromosome,0.876,17.374186,5.041962829
CF,ficedula_albicollis,Ficedula albicollis,15,59.3,15,NC_021687.1,14943019,649166,377,0.043442761,Chromosome,0.593,14.943019,3.968408258
CF,ficedula_albicollis,Ficedula albicollis,17,73.8,17,NC_021688.1,12378331,528829,296,0.042722157,Chromosome,0.738,12.378331,5.962031553
CF,ficedula_albicollis,Ficedula albicollis,18,79.7,18,NC_021689.1,13163162,606802,357,0.046098498,Chromosome,0.797,13.163162,6.0547762
CF,ficedula_albicollis,Ficedula albicollis,19,58,19,NC_021690.1,11933672,563170,348,0.047191677,Chromosome,0.58,11.933672,4.860197264
CF,ficedula_albicollis,Ficedula albicollis,20,53.7,20,NC_021691.1,15675940,568553,371,0.036269149,Chromosome,0.537,15.67594,3.425631892
CF,ficedula_albicollis,Ficedula albicollis,21,48.3,21,NC_021692.1,8073070,418002,251,0.051777329,Chromosome,0.483,8.07307,5.982854106
CF,ficedula_albicollis,Ficedula albicollis,22,53.2,22,NC_021693.1,5733621,242114,170,0.042227067,Chromosome,0.532,5.733621,9.278604219
CF,ficedula_albicollis,Ficedula albicollis,23,49.1,23,NC_021694.1,7944683,370434,252,0.046626656,Chromosome,0.491,7.944683,6.180234001
CF,ficedula_albicollis,Ficedula albicollis,24,50.5,24,NC_021695.1,8009359,303816,187,0.037932624,Chromosome,0.505,8.009359,6.305123793
CF,ficedula_albicollis,Ficedula albicollis,25,47.9,25,NC_021696.1,2802420,224356,181,0.08005795,Chromosome,0.479,2.80242,17.09237017
CF,ficedula_albicollis,Ficedula albicollis,26,46.3,26,NC_021697.1,7653694,413064,270,0.053969234,Chromosome,0.463,7.653694,6.049366489
CF,ficedula_albicollis,Ficedula albicollis,27,73.5,27,NC_021698.1,5572044,366000,256,0.065685052,Chromosome,0.735,5.572044,13.19085061
CF,ficedula_albicollis,Ficedula albicollis,28,48.2,28,NC_021699.1,6182350,406912,272,0.065818338,Chromosome,0.482,6.18235,7.796388105
CF,ficedula_albicollis,Ficedula albicollis,Z,107.5,Z,NC_021700.1,59856998,1139199,658,0.01903201,Chromosome,1.075,59.856998,1.795947067
CF,ficedula_albicollis,Ficedula albicollis,LGE22,53.3,LGE22,NC_021703.1,2153636,181542,105,0.084295582,Chromosome,0.533,2.153636,24.74884335
CF,ficedula_albicollis,Ficedula albicollis,Fal34,16.3,LG34,NC_021701.1,476164,20274,19,0.042577767,Chromosome,0.163,0.476164,34.23190329
CF,ficedula_albicollis,Ficedula albicollis,Fal35,37.2,LG35,NC_021702.1,248039,10890,4,0.043904386,Chromosome,0.372,0.248039,149.976415
CF,ficedula_albicollis,Ficedula albicollis,Fal36,9.7,LG35,NC_021702.1,248039,10890,4,0.043904386,Chromosome,0.097,0.248039,39.10675337
CSM,macaca_mulatta,Macaca mulatta,1,171.4,1,NC_133406.1,240198992,3651568,3777,0.015202262,Chromosome,1.714,240.198992,0.713575018
CSM,macaca_mulatta,Macaca mulatta,2,85.7,2,NC_133407.1,203700025,2076770,1987,0.010195237,Chromosome,0.857,203.700025,0.420716689
