Assembly Accession	Assembly-unit name	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCF_002901205.1	Primary Assembly	1			PDCF01008548.1	Chromosome		NW_019776229.1	unlocalized-scaffold	2534		69	chr1_part45
GCF_002901205.1	Primary Assembly	1			PDCF01008966.1	Chromosome		NW_019776230.1	unlocalized-scaffold	2469		69	chr1_part46
GCF_002901205.1	Primary Assembly	1			PDCF01009011.1	Chromosome		NW_019776231.1	unlocalized-scaffold	2259		69	chr1_part47
GCF_002901205.1	Primary Assembly	1			PDCF01009053.1	Chromosome		NW_019776232.1	unlocalized-scaffold	2458		69	chr1_part48
GCF_002901205.1	Primary Assembly	1			PDCF01009139.1	Chromosome		NW_019776233.1	unlocalized-scaffold	2449		69	chr1_part49
GCF_002901205.1	Primary Assembly	1			PDCF01009354.1	Chromosome		NW_019776235.1	unlocalized-scaffold	2424		69	chr1_part50
GCF_002901205.1	Primary Assembly	1			PDCF01009393.1	Chromosome		NW_019776236.1	unlocalized-scaffold	2420		69	chr1_part51
GCF_002901205.1	Primary Assembly	1			PDCF01009651.1	Chromosome		NW_019776237.1	unlocalized-scaffold	2396		69	chr1_part52
GCF_002901205.1	Primary Assembly	1			PDCF01009907.1	Chromosome		NW_019776238.1	unlocalized-scaffold	2379		69	chr1_part53
GCF_002901205.1	Primary Assembly	1			PDCF01010000.1	Chromosome		NW_019776239.1	unlocalized-scaffold	2374		69	chr1_part54
GCF_002901205.1	Primary Assembly	1			PDCF01010005.1	Chromosome		NW_019776240.1	unlocalized-scaffold	2373		69	chr1_part55
GCF_002901205.1	Primary Assembly	1			PDCF01010173.1	Chromosome		NW_019776241.1	unlocalized-scaffold	2364		69	chr1_part56
GCF_002901205.1	Primary Assembly	1			PDCF01010343.1	Chromosome		NW_019776242.1	unlocalized-scaffold	2355		69	chr1_part57
GCF_002901205.1	Primary Assembly	1			PDCF01011030.1	Chromosome		NW_019776243.1	unlocalized-scaffold	2325		69	chr1_part58
GCF_002901205.1	Primary Assembly	1			PDCF01011476.1	Chromosome		NW_019776199.1	unlocalized-scaffold	387140		69	chr1_part18
GCF_002901205.1	Primary Assembly	1			PDCF01011499.1	Chromosome		NW_019776244.1	unlocalized-scaffold	2308		69	chr1_part59
GCF_002901205.1	Primary Assembly	1			PDCF01011612.1	Chromosome		NW_019776246.1	unlocalized-scaffold	2304		69	chr1_part60
GCF_002901205.1	Primary Assembly	1			PDCF01012081.1	Chromosome		NW_019776247.1	unlocalized-scaffold	2287		69	chr1_part61
GCF_002901205.1	Primary Assembly	1			PDCF01012412.1	Chromosome		NW_019776248.1	unlocalized-scaffold	2275		69	chr1_part62
GCF_002901205.1	Primary Assembly	1			PDCF01012985.1	Chromosome		NW_019776249.1	unlocalized-scaffold	2251		69	chr1_part63
GCF_002901205.1	Primary Assembly	1			PDCF01013125.1	Chromosome		NW_019776250.1	unlocalized-scaffold	2244		69	chr1_part64
GCF_002901205.1	Primary Assembly	1			PDCF01013325.1	Chromosome		NW_019776251.1	unlocalized-scaffold	2233		69	chr1_part65
GCF_002901205.1	Primary Assembly	1			PDCF01014612.1	Chromosome		NW_019776252.1	unlocalized-scaffold	2122		69	chr1_part66
GCF_002901205.1	Primary Assembly	1			PDCF01014632.1	Chromosome		NW_019776253.1	unlocalized-scaffold	2120		69	chr1_part67
GCF_002901205.1	Primary Assembly	1			PDCF01019241.1	Chromosome		NW_019776254.1	unlocalized-scaffold	1713		69	chr1_part68
GCF_002901205.1	Primary Assembly	1			PDCF01021725.1	Chromosome		NW_019776255.1	unlocalized-scaffold	1529		69	chr1_part69
GCF_002901205.1	Primary Assembly	2			PDCF01000002.1	Chromosome		NW_019776259.1	unlocalized-scaffold	38436422		61	chr2_part1
GCF_002901205.1	Primary Assembly	2			PDCF01000010.1	Chromosome		NW_019776270.1	unlocalized-scaffold	26009235		61	chr2_part2
GCF_002901205.1	Primary Assembly	2			PDCF01000013.1	Chromosome		NW_019776281.1	unlocalized-scaffold	21617949		61	chr2_part3
GCF_002901205.1	Primary Assembly	2			PDCF01000024.1	Chromosome		NW_019776292.1	unlocalized-scaffold	16133332		61	chr2_part4
GCF_002901205.1	Primary Assembly	2			PDCF01000025.1	Chromosome		NW_019776303.1	unlocalized-scaffold	16476413		61	chr2_part5
GCF_002901205.1	Primary Assembly	2			PDCF01000026.1	Chromosome		NW_019776314.1	unlocalized-scaffold	14661118		61	chr2_part6
GCF_002901205.1	Primary Assembly	2			PDCF01000037.1	Chromosome		NW_019776317.1	unlocalized-scaffold	11814096		61	chr2_part7
GCF_002901205.1	Primary Assembly	2			PDCF01000061.1	Chromosome		NW_019776318.1	unlocalized-scaffold	5027771		61	chr2_part8
GCF_002901205.1	Primary Assembly	2			PDCF01000064.1	Chromosome		NW_019776319.1	unlocalized-scaffold	3186597		61	chr2_part9
GCF_002901205.1	Primary Assembly	2			PDCF01000084.1	Chromosome		NW_019776260.1	unlocalized-scaffold	2282867		61	chr2_part10
GCF_002901205.1	Primary Assembly	2			PDCF01000103.1	Chromosome		NW_019776261.1	unlocalized-scaffold	918915		61	chr2_part11
GCF_002901205.1	Primary Assembly	2			PDCF01000110.1	Chromosome		NW_019776263.1	unlocalized-scaffold	455769		61	chr2_part13
GCF_002901205.1	Primary Assembly	2			PDCF01000111.1	Chromosome		NW_019776262.1	unlocalized-scaffold	815727		61	chr2_part12
GCF_002901205.1	Primary Assembly	2			PDCF01000122.1	Chromosome		NW_019776267.1	unlocalized-scaffold	306111		61	chr2_part17
GCF_002901205.1	Primary Assembly	2			PDCF01000129.1	Chromosome		NW_019776268.1	unlocalized-scaffold	259414		61	chr2_part18
GCF_002901205.1	Primary Assembly	2			PDCF01000138.1	Chromosome		NW_019776269.1	unlocalized-scaffold	214658		61	chr2_part19
GCF_002901205.1	Primary Assembly	2			PDCF01000146.1	Chromosome		NW_019776271.1	unlocalized-scaffold	183369		61	chr2_part20
GCF_002901205.1	Primary Assembly	2			PDCF01000174.1	Chromosome		NW_019776272.1	unlocalized-scaffold	117888		61	chr2_part21
GCF_002901205.1	Primary Assembly	2			PDCF01000178.1	Chromosome		NW_019776273.1	unlocalized-scaffold	116713		61	chr2_part22
GCF_002901205.1	Primary Assembly	2			PDCF01000180.1	Chromosome		NW_019776274.1	unlocalized-scaffold	113228		61	chr2_part23
GCF_002901205.1	Primary Assembly	2			PDCF01000183.1	Chromosome		NW_019776275.1	unlocalized-scaffold	110477		61	chr2_part24
GCF_002901205.1	Primary Assembly	2			PDCF01000199.1	Chromosome		NW_019776265.1	unlocalized-scaffold	389347		61	chr2_part15
GCF_002901205.1	Primary Assembly	2			PDCF01000218.1	Chromosome		NW_019776276.1	unlocalized-scaffold	82837		61	chr2_part25
GCF_002901205.1	Primary Assembly	2			PDCF01000220.1	Chromosome		NW_019776277.1	unlocalized-scaffold	82084		61	chr2_part26
GCF_002901205.1	Primary Assembly	2			PDCF01000227.1	Chromosome		NW_019776278.1	unlocalized-scaffold	78828		61	chr2_part27
GCF_002901205.1	Primary Assembly	2			PDCF01000240.1	Chromosome		NW_019776279.1	unlocalized-scaffold	68278		61	chr2_part28
GCF_002901205.1	Primary Assembly	2			PDCF01000243.1	Chromosome		NW_019776280.1	unlocalized-scaffold	67466		61	chr2_part29
GCF_002901205.1	Primary Assembly	2			PDCF01000249.1	Chromosome		NW_019776282.1	unlocalized-scaffold	65877		61	chr2_part30
GCF_002901205.1	Primary Assembly	2			PDCF01000341.1	Chromosome		NW_019776283.1	unlocalized-scaffold	42345		61	chr2_part31
GCF_002901205.1	Primary Assembly	2			PDCF01000548.1	Chromosome		NW_019776284.1	unlocalized-scaffold	26975		61	chr2_part32
GCF_002901205.1	Primary Assembly	2			PDCF01000915.1	Chromosome		NW_019776285.1	unlocalized-scaffold	17137		61	chr2_part33
GCF_002901205.1	Primary Assembly	2			PDCF01001479.1	Chromosome		NW_019776264.1	unlocalized-scaffold	397610		61	chr2_part14
GCF_002901205.1	Primary Assembly	2			PDCF01001539.1	Chromosome		NW_019776286.1	unlocalized-scaffold	11008		61	chr2_part34
GCF_002901205.1	Primary Assembly	2			PDCF01004522.1	Chromosome		NW_019776287.1	unlocalized-scaffold	4132		61	chr2_part35
GCF_002901205.1	Primary Assembly	2			PDCF01004801.1	Chromosome		NW_019776288.1	unlocalized-scaffold	3946		61	chr2_part36
GCF_002901205.1	Primary Assembly	2			PDCF01004905.1	Chromosome		NW_019776289.1	unlocalized-scaffold	3871		61	chr2_part37
GCF_002901205.1	Primary Assembly	2			PDCF01005467.1	Chromosome		NW_019776290.1	unlocalized-scaffold	3494		61	chr2_part38
GCF_002901205.1	Primary Assembly	2			PDCF01005736.1	Chromosome		NW_019776291.1	unlocalized-scaffold	3345		61	chr2_part39
GCF_002901205.1	Primary Assembly	2			PDCF01005827.1	Chromosome		NW_019776293.1	unlocalized-scaffold	3298		61	chr2_part40
GCF_002901205.1	Primary Assembly	2			PDCF01006648.1	Chromosome		NW_019776266.1	unlocalized-scaffold	387842		61	chr2_part16
GCF_002901205.1	Primary Assembly	2			PDCF01006931.1	Chromosome		NW_019776294.1	unlocalized-scaffold	2895		61	chr2_part41
GCF_002901205.1	Primary Assembly	2			PDCF01008027.1	Chromosome		NW_019776295.1	unlocalized-scaffold	2635		61	chr2_part42
GCF_002901205.1	Primary Assembly	2			PDCF01008589.1	Chromosome		NW_019776296.1	unlocalized-scaffold	2527		61	chr2_part43
GCF_002901205.1	Primary Assembly	2			PDCF01008642.1	Chromosome		NW_019776297.1	unlocalized-scaffold	2519		61	chr2_part44
GCF_002901205.1	Primary Assembly	2			PDCF01008707.1	Chromosome		NW_019776298.1	unlocalized-scaffold	2508		61	chr2_part45
GCF_002901205.1	Primary Assembly	2			PDCF01009137.1	Chromosome		NW_019776299.1	unlocalized-scaffold	2450		61	chr2_part46
GCF_002901205.1	Primary Assembly	2			PDCF01009258.1	Chromosome		NW_019776300.1	unlocalized-scaffold	2435		61	chr2_part47
GCF_002901205.1	Primary Assembly	2			PDCF01009291.1	Chromosome		NW_019776301.1	unlocalized-scaffold	2431		61	chr2_part48
GCF_002901205.1	Primary Assembly	2			PDCF01009332.1	Chromosome		NW_019776302.1	unlocalized-scaffold	2427		61	chr2_part49
GCF_002901205.1	Primary Assembly	2			PDCF01009429.1	Chromosome		NW_019776304.1	unlocalized-scaffold	2417		61	chr2_part50
GCF_002901205.1	Primary Assembly	2			PDCF01010095.1	Chromosome		NW_019776305.1	unlocalized-scaffold	2368		61	chr2_part51
GCF_002901205.1	Primary Assembly	2			PDCF01010371.1	Chromosome		NW_019776306.1	unlocalized-scaffold	2353		61	chr2_part52
GCF_002901205.1	Primary Assembly	2			PDCF01011559.1	Chromosome		NW_019776307.1	unlocalized-scaffold	2306		61	chr2_part53
GCF_002901205.1	Primary Assembly	2			PDCF01011940.1	Chromosome		NW_019776308.1	unlocalized-scaffold	2292		61	chr2_part54
GCF_002901205.1	Primary Assembly	2			PDCF01011986.1	Chromosome		NW_019776309.1	unlocalized-scaffold	2291		61	chr2_part55
GCF_002901205.1	Primary Assembly	2			PDCF01012212.1	Chromosome		NW_019776310.1	unlocalized-scaffold	2283		61	chr2_part56
GCF_002901205.1	Primary Assembly	2			PDCF01013347.1	Chromosome		NW_019776311.1	unlocalized-scaffold	2232		61	chr2_part57
GCF_002901205.1	Primary Assembly	2			PDCF01013742.1	Chromosome		NW_019776312.1	unlocalized-scaffold	2206		61	chr2_part58
GCF_002901205.1	Primary Assembly	2			PDCF01013877.1	Chromosome		NW_019776313.1	unlocalized-scaffold	2194		61	chr2_part59
GCF_002901205.1	Primary Assembly	2			PDCF01014077.1	Chromosome		NW_019776315.1	unlocalized-scaffold	2178		61	chr2_part60
GCF_002901205.1	Primary Assembly	2			PDCF01015469.1	Chromosome		NW_019776316.1	unlocalized-scaffold	2030		61	chr2_part61
GCF_002901205.1	Primary Assembly	3			PDCF01000004.1	Chromosome		NW_019776320.1	unlocalized-scaffold	34710996		37	chr3_part1
GCF_002901205.1	Primary Assembly	3			PDCF01000008.1	Chromosome		NW_019776331.1	unlocalized-scaffold	26480611		37	chr3_part2
GCF_002901205.1	Primary Assembly	3			PDCF01000012.1	Chromosome		NW_019776342.1	unlocalized-scaffold	24030716		37	chr3_part3
GCF_002901205.1	Primary Assembly	3			PDCF01000027.1	Chromosome		NW_019776351.1	unlocalized-scaffold	14566506		37	chr3_part4
GCF_002901205.1	Primary Assembly	3			PDCF01000048.1	Chromosome		NW_019776352.1	unlocalized-scaffold	8979156		37	chr3_part5
GCF_002901205.1	Primary Assembly	3			PDCF01000068.1	Chromosome		NW_019776353.1	unlocalized-scaffold	4428846		37	chr3_part6
GCF_002901205.1	Primary Assembly	3			PDCF01000082.1	Chromosome		NW_019776355.1	unlocalized-scaffold	2548109		37	chr3_part8
GCF_002901205.1	Primary Assembly	3			PDCF01000083.1	Chromosome		NW_019776354.1	unlocalized-scaffold	3849042		37	chr3_part7
GCF_002901205.1	Primary Assembly	3			PDCF01000149.1	Chromosome		NW_019776321.1	unlocalized-scaffold	171940		37	chr3_part10
GCF_002901205.1	Primary Assembly	3			PDCF01000161.1	Chromosome		NW_019776322.1	unlocalized-scaffold	146390		37	chr3_part11
GCF_002901205.1	Primary Assembly	3			PDCF01000169.1	Chromosome		NW_019776323.1	unlocalized-scaffold	134208		37	chr3_part12
GCF_002901205.1	Primary Assembly	3			PDCF01000211.1	Chromosome		NW_019776324.1	unlocalized-scaffold	87321		37	chr3_part13
GCF_002901205.1	Primary Assembly	3			PDCF01000213.1	Chromosome		NW_019776325.1	unlocalized-scaffold	86151		37	chr3_part14
GCF_002901205.1	Primary Assembly	3			PDCF01000221.1	Chromosome		NW_019776326.1	unlocalized-scaffold	81500		37	chr3_part15
GCF_002901205.1	Primary Assembly	3			PDCF01000279.1	Chromosome		NW_019776327.1	unlocalized-scaffold	54656		37	chr3_part16
GCF_002901205.1	Primary Assembly	3			PDCF01000296.1	Chromosome		NW_019776328.1	unlocalized-scaffold	51521		37	chr3_part17
GCF_002901205.1	Primary Assembly	3			PDCF01000827.1	Chromosome		NW_019776329.1	unlocalized-scaffold	18651		37	chr3_part18
GCF_002901205.1	Primary Assembly	3			PDCF01002872.1	Chromosome		NW_019776330.1	unlocalized-scaffold	6395		37	chr3_part19
GCF_002901205.1	Primary Assembly	3			PDCF01004944.1	Chromosome		NW_019776356.1	unlocalized-scaffold	388595		37	chr3_part9
GCF_002901205.1	Primary Assembly	3			PDCF01005868.1	Chromosome		NW_019776332.1	unlocalized-scaffold	3280		37	chr3_part20
GCF_002901205.1	Primary Assembly	3			PDCF01005887.1	Chromosome		NW_019776333.1	unlocalized-scaffold	3274		37	chr3_part21
GCF_002901205.1	Primary Assembly	3			PDCF01006308.1	Chromosome		NW_019776334.1	unlocalized-scaffold	3105		37	chr3_part22
GCF_002901205.1	Primary Assembly	3			PDCF01006597.1	Chromosome		NW_019776335.1	unlocalized-scaffold	2995		37	chr3_part23
GCF_002901205.1	Primary Assembly	3			PDCF01006808.1	Chromosome		NW_019776336.1	unlocalized-scaffold	2925		37	chr3_part24
GCF_002901205.1	Primary Assembly	3			PDCF01007301.1	Chromosome		NW_019776337.1	unlocalized-scaffold	2788		37	chr3_part25
GCF_002901205.1	Primary Assembly	3			PDCF01007382.1	Chromosome		NW_019776338.1	unlocalized-scaffold	2450		37	chr3_part26
GCF_002901205.1	Primary Assembly	3			PDCF01007487.1	Chromosome		NW_019776339.1	unlocalized-scaffold	2738		37	chr3_part27
GCF_002901205.1	Primary Assembly	3			PDCF01008326.1	Chromosome		NW_019776340.1	unlocalized-scaffold	2571		37	chr3_part28
GCF_002901205.1	Primary Assembly	3			PDCF01008566.1	Chromosome		NW_019776341.1	unlocalized-scaffold	2531		37	chr3_part29
GCF_002901205.1	Primary Assembly	3			PDCF01009073.1	Chromosome		NW_019776343.1	unlocalized-scaffold	2455		37	chr3_part30
GCF_002901205.1	Primary Assembly	3			PDCF01009251.1	Chromosome		NW_019776344.1	unlocalized-scaffold	2435		37	chr3_part31
GCF_002901205.1	Primary Assembly	3			PDCF01009554.1	Chromosome		NW_019776345.1	unlocalized-scaffold	2404		37	chr3_part32
GCF_002901205.1	Primary Assembly	3			PDCF01009864.1	Chromosome		NW_019776346.1	unlocalized-scaffold	2382		37	chr3_part33
GCF_002901205.1	Primary Assembly	3			PDCF01010650.1	Chromosome		NW_019776347.1	unlocalized-scaffold	2340		37	chr3_part34
GCF_002901205.1	Primary Assembly	3			PDCF01011673.1	Chromosome		NW_019776348.1	unlocalized-scaffold	2302		37	chr3_part35
GCF_002901205.1	Primary Assembly	3			PDCF01013223.1	Chromosome		NW_019776349.1	unlocalized-scaffold	2239		37	chr3_part36
GCF_002901205.1	Primary Assembly	3			PDCF01014795.1	Chromosome		NW_019776350.1	unlocalized-scaffold	2103		37	chr3_part37
GCF_002901205.1	Primary Assembly	4			PDCF01000001.1	Chromosome		NW_019776357.1	unlocalized-scaffold	46327719		36	chr4_part1
GCF_002901205.1	Primary Assembly	4			PDCF01000030.1	Chromosome		NW_019776368.1	unlocalized-scaffold	12922972		36	chr4_part2
GCF_002901205.1	Primary Assembly	4			PDCF01000044.1	Chromosome		NW_019776379.1	unlocalized-scaffold	11477551		36	chr4_part3
GCF_002901205.1	Primary Assembly	4			PDCF01000049.1	Chromosome		NW_019776387.1	unlocalized-scaffold	7018745		36	chr4_part4
GCF_002901205.1	Primary Assembly	4			PDCF01000060.1	Chromosome		NW_019776388.1	unlocalized-scaffold	5116942		36	chr4_part5
GCF_002901205.1	Primary Assembly	4			PDCF01000071.1	Chromosome		NW_019776389.1	unlocalized-scaffold	3864108		36	chr4_part6
GCF_002901205.1	Primary Assembly	4			PDCF01000080.1	Chromosome		NW_019776390.1	unlocalized-scaffold	2648592		36	chr4_part7
GCF_002901205.1	Primary Assembly	4			PDCF01000085.1	Chromosome		NW_019776391.1	unlocalized-scaffold	2536135		36	chr4_part8
GCF_002901205.1	Primary Assembly	4			PDCF01000090.1	Chromosome		NW_019776392.1	unlocalized-scaffold	1742988		36	chr4_part9
GCF_002901205.1	Primary Assembly	4			PDCF01000093.1	Chromosome		NW_019776358.1	unlocalized-scaffold	1408237		36	chr4_part10
GCF_002901205.1	Primary Assembly	4			PDCF01000095.1	Chromosome		NW_019776359.1	unlocalized-scaffold	1266590		36	chr4_part11
GCF_002901205.1	Primary Assembly	4			PDCF01000119.1	Chromosome		NW_019776360.1	unlocalized-scaffold	356800		36	chr4_part12
GCF_002901205.1	Primary Assembly	4			PDCF01000130.1	Chromosome		NW_019776361.1	unlocalized-scaffold	259088		36	chr4_part13
GCF_002901205.1	Primary Assembly	4			PDCF01000143.1	Chromosome		NW_019776362.1	unlocalized-scaffold	195207		36	chr4_part14
GCF_002901205.1	Primary Assembly	4			PDCF01000153.1	Chromosome		NW_019776363.1	unlocalized-scaffold	158065		36	chr4_part15
GCF_002901205.1	Primary Assembly	4			PDCF01000189.1	Chromosome		NW_019776364.1	unlocalized-scaffold	101361		36	chr4_part16
GCF_002901205.1	Primary Assembly	4			PDCF01000299.1	Chromosome		NW_019776365.1	unlocalized-scaffold	50143		36	chr4_part17
GCF_002901205.1	Primary Assembly	4			PDCF01004100.1	Chromosome		NW_019776366.1	unlocalized-scaffold	4516		36	chr4_part18
GCF_002901205.1	Primary Assembly	4			PDCF01005389.1	Chromosome		NW_019776367.1	unlocalized-scaffold	3537		36	chr4_part19
GCF_002901205.1	Primary Assembly	4			PDCF01005909.1	Chromosome		NW_019776369.1	unlocalized-scaffold	3263		36	chr4_part20
GCF_002901205.1	Primary Assembly	4			PDCF01006378.1	Chromosome		NW_019776370.1	unlocalized-scaffold	3076		36	chr4_part21
GCF_002901205.1	Primary Assembly	4			PDCF01008288.1	Chromosome		NW_019776371.1	unlocalized-scaffold	2578		36	chr4_part22
GCF_002901205.1	Primary Assembly	4			PDCF01008593.1	Chromosome		NW_019776372.1	unlocalized-scaffold	2527		36	chr4_part23
GCF_002901205.1	Primary Assembly	4			PDCF01008623.1	Chromosome		NW_019776373.1	unlocalized-scaffold	2522		36	chr4_part24
GCF_002901205.1	Primary Assembly	4			PDCF01009413.1	Chromosome		NW_019776374.1	unlocalized-scaffold	2418		36	chr4_part25
GCF_002901205.1	Primary Assembly	4			PDCF01009971.1	Chromosome		NW_019776375.1	unlocalized-scaffold	2375		36	chr4_part26
GCF_002901205.1	Primary Assembly	4			PDCF01010103.1	Chromosome		NW_019776376.1	unlocalized-scaffold	2368		36	chr4_part27
GCF_002901205.1	Primary Assembly	4			PDCF01010305.1	Chromosome		NW_019776377.1	unlocalized-scaffold	2357		36	chr4_part28
GCF_002901205.1	Primary Assembly	4			PDCF01010735.1	Chromosome		NW_019776378.1	unlocalized-scaffold	2336		36	chr4_part29
GCF_002901205.1	Primary Assembly	4			PDCF01010935.1	Chromosome		NW_019776380.1	unlocalized-scaffold	2328		36	chr4_part30
GCF_002901205.1	Primary Assembly	4			PDCF01011676.1	Chromosome		NW_019776381.1	unlocalized-scaffold	2302		36	chr4_part31
GCF_002901205.1	Primary Assembly	4			PDCF01012091.1	Chromosome		NW_019776382.1	unlocalized-scaffold	2287		36	chr4_part32
GCF_002901205.1	Primary Assembly	4			PDCF01012633.1	Chromosome		NW_019776383.1	unlocalized-scaffold	2266		36	chr4_part33
GCF_002901205.1	Primary Assembly	4			PDCF01013554.1	Chromosome		NW_019776384.1	unlocalized-scaffold	2219		36	chr4_part34
GCF_002901205.1	Primary Assembly	4			PDCF01014640.1	Chromosome		NW_019776385.1	unlocalized-scaffold	2119		36	chr4_part35
