Species,NCBI_Chromosome,SeqID,Physical_Length_bp,L_coding_bp,Gene_Count,Coding_Density,Assembly_Level
chionomys_nivalis,2,NC_080087.1,137242143,2502459,1712,0.018233896,Chromosome
chionomys_nivalis,3,NC_080088.1,127609482,2158742,1414,0.016916784,Chromosome
chionomys_nivalis,4,NC_080089.1,120218571,2155743,1394,0.017931863,Chromosome
chionomys_nivalis,5,NC_080090.1,115466156,1480889,996,0.012825308,Chromosome
chionomys_nivalis,6,NC_080091.1,102988758,1604618,1043,0.015580516,Chromosome
chionomys_nivalis,7,NC_080092.1,102402464,2839914,1923,0.027732868,Chromosome
chionomys_nivalis,8,NC_080093.1,97493002,2374705,1565,0.024357697,Chromosome
chionomys_nivalis,9,NC_080094.1,88844950,1549291,1022,0.017438144,Chromosome
chionomys_nivalis,10,NC_080095.1,84106376,1063583,838,0.012645688,Chromosome
chionomys_nivalis,11,NC_080096.1,83253510,1531613,1029,0.018396978,Chromosome
chionomys_nivalis,12,NC_080097.1,78626399,902459,650,0.011477812,Chromosome
chionomys_nivalis,13,NC_080098.1,76505926,937798,824,0.012257848,Chromosome
chionomys_nivalis,14,NC_080099.1,74490819,947356,532,0.012717755,Chromosome
chionomys_nivalis,15,NC_080100.1,71441066,738841,433,0.010341965,Chromosome
chionomys_nivalis,16,NC_080101.1,69317071,706616,489,0.010193968,Chromosome
chionomys_nivalis,17,NC_080102.1,65541755,1210878,765,0.01847491,Chromosome
chionomys_nivalis,18,NC_080103.1,64601834,1053875,783,0.016313391,Chromosome
chionomys_nivalis,19,NC_080104.1,63902736,1228336,796,0.019221963,Chromosome
chionomys_nivalis,20,NC_080105.1,62300379,797794,523,0.012805604,Chromosome
chionomys_nivalis,21,NC_080106.1,57930001,980388,809,0.016923666,Chromosome
chionomys_nivalis,22,NC_080107.1,57725763,1093739,607,0.018947155,Chromosome
chionomys_nivalis,23,NC_080108.1,54003058,761709,569,0.014104923,Chromosome
chionomys_nivalis,24,NC_080109.1,53267083,528527,344,0.009922207,Chromosome
chionomys_nivalis,25,NC_080110.1,42740773,640708,451,0.014990557,Chromosome
chionomys_nivalis,26,NC_080111.1,41320754,519668,303,0.01257644,Chromosome
chionomys_nivalis,X,NC_080112.1,137629621,1457640,1098,0.010591034,Chromosome
chionomys_nivalis,Y,NC_080113.1,7198864,57756,33,0.008022933,Chromosome
ficedula_albicollis,1,NC_021671.1,120002344,2034816,1188,0.016956469,Chromosome
ficedula_albicollis,2,NC_021673.1,157563209,2401031,1457,0.015238526,Chromosome
ficedula_albicollis,3,NC_021674.1,115844353,2128250,1190,0.018371634,Chromosome
ficedula_albicollis,4,NC_021675.1,70439523,1262945,730,0.017929494,Chromosome
ficedula_albicollis,5,NC_021677.1,64724594,1752126,1006,0.027070483,Chromosome
ficedula_albicollis,6,NC_021678.1,37227452,969734,561,0.026048895,Chromosome
ficedula_albicollis,7,NC_021679.1,39412007,1128745,527,0.028639622,Chromosome
ficedula_albicollis,8,NC_021680.1,32100816,926856,552,0.028873285,Chromosome
ficedula_albicollis,9,NC_021681.1,26793321,749456,459,0.027971747,Chromosome
ficedula_albicollis,10,NC_021682.1,21346708,766900,420,0.035925914,Chromosome
ficedula_albicollis,11,NC_021683.1,21727166,646809,400,0.029769598,Chromosome
ficedula_albicollis,12,NC_021684.1,21938106,668188,374,0.030457871,Chromosome
ficedula_albicollis,13,NC_021685.1,18641552,532393,337,0.028559478,Chromosome
ficedula_albicollis,14,NC_021686.1,17374186,742053,420,0.042710087,Chromosome
ficedula_albicollis,15,NC_021687.1,14943019,649166,377,0.043442761,Chromosome
ficedula_albicollis,17,NC_021688.1,12378331,528829,296,0.042722157,Chromosome
ficedula_albicollis,18,NC_021689.1,13163162,606802,357,0.046098498,Chromosome
ficedula_albicollis,19,NC_021690.1,11933672,563170,348,0.047191677,Chromosome
ficedula_albicollis,20,NC_021691.1,15675940,568553,371,0.036269149,Chromosome
ficedula_albicollis,21,NC_021692.1,8073070,418002,251,0.051777329,Chromosome
ficedula_albicollis,22,NC_021693.1,5733621,242114,170,0.042227067,Chromosome
ficedula_albicollis,23,NC_021694.1,7944683,370434,252,0.046626656,Chromosome
ficedula_albicollis,24,NC_021695.1,8009359,303816,187,0.037932624,Chromosome
ficedula_albicollis,25,NC_021696.1,2802420,224356,181,0.08005795,Chromosome
ficedula_albicollis,26,NC_021697.1,7653694,413064,270,0.053969234,Chromosome
ficedula_albicollis,27,NC_021698.1,5572044,366000,256,0.065685052,Chromosome
ficedula_albicollis,28,NC_021699.1,6182350,406912,272,0.065818338,Chromosome
ficedula_albicollis,1A,NC_021672.1,74947036,1515513,957,0.02022112,Chromosome
ficedula_albicollis,4A,NC_021676.1,21182716,543484,353,0.025656955,Chromosome
ficedula_albicollis,Z,NC_021700.1,59856998,1139199,658,0.01903201,Chromosome
ficedula_albicollis,LG34,NC_021701.1,476164,20274,19,0.042577767,Chromosome
ficedula_albicollis,LG35,NC_021702.1,248039,10890,4,0.043904386,Chromosome
ficedula_albicollis,LGE22,NC_021703.1,2153636,181542,105,0.084295582,Chromosome
macaca_mulatta,1,NC_133406.1,240198992,3651568,3777,0.015202262,Chromosome
macaca_mulatta,2,NC_133407.1,203700025,2076770,1987,0.010195237,Chromosome
macaca_mulatta,3,NC_133408.1,198814188,2153420,2125,0.01083132,Chromosome
macaca_mulatta,4,NC_133409.1,183173882,1864436,1944,0.010178504,Chromosome
macaca_mulatta,5,NC_133410.1,198440196,1438627,1370,0.007249675,Chromosome
macaca_mulatta,6,NC_133411.1,190852379,1687879,1592,0.008843898,Chromosome
macaca_mulatta,7,NC_133412.1,180830462,2478618,2618,0.013706861,Chromosome
macaca_mulatta,8,NC_133413.1,155637635,1245615,1320,0.008003302,Chromosome
macaca_mulatta,9,NC_133414.1,145811819,1475628,1430,0.010120085,Chromosome
macaca_mulatta,10,NC_133415.1,117198467,1730719,2361,0.01476742,Chromosome
macaca_mulatta,11,NC_133416.1,140629503,1953998,1858,0.013894652,Chromosome
macaca_mulatta,12,NC_133417.1,147927106,1448425,1104,0.009791478,Chromosome
macaca_mulatta,13,NC_133418.1,124839465,1184688,1184,0.009489691,Chromosome
macaca_mulatta,14,NC_133419.1,135239889,2190960,2111,0.016200546,Chromosome
macaca_mulatta,15,NC_133420.1,128971188,1531846,1474,0.011877428,Chromosome
macaca_mulatta,16,NC_133421.1,93020102,2144824,2267,0.02305764,Chromosome
macaca_mulatta,17,NC_133422.1,108447274,678426,695,0.006255814,Chromosome
macaca_mulatta,18,NC_133423.1,84534201,596538,613,0.007056765,Chromosome
macaca_mulatta,19,NC_133424.1,70782886,2518684,2432,0.035583234,Chromosome
macaca_mulatta,20,NC_133425.1,85570776,1545627,1733,0.018062557,Chromosome
macaca_mulatta,X,NC_133426.1,162285572,1419809,1411,0.008748831,Chromosome
macaca_mulatta,Y,NC_133427.1,18214518,96321,83,0.005288144,Chromosome
melospiza_melodia,1,NC_086194.1,174870981,2645610,1670,0.015128925,Chromosome
melospiza_melodia,2,NC_086195.1,144034808,2157875,1394,0.014981622,Chromosome
melospiza_melodia,3,NC_086196.1,140599127,2419212,1422,0.017206451,Chromosome
melospiza_melodia,4,NC_086197.1,98388105,1677050,1092,0.017045252,Chromosome
melospiza_melodia,5,NC_086198.1,97313250,1495583,931,0.01536875,Chromosome
melospiza_melodia,6,NC_086199.1,77460261,1841760,1150,0.023776837,Chromosome
melospiza_melodia,7,NC_086200.1,31763807,535435,443,0.016856764,Chromosome
melospiza_melodia,8,NC_086201.1,40833162,1174820,603,0.028771223,Chromosome
melospiza_melodia,9,NC_086202.1,37544995,998621,618,0.026597979,Chromosome
melospiza_melodia,10,NC_086203.1,31521720,651236,383,0.020659913,Chromosome
melospiza_melodia,11,NC_086204.1,32005917,957891,607,0.02992856,Chromosome
melospiza_melodia,12,NC_086205.1,28535873,797578,576,0.027950012,Chromosome
melospiza_melodia,13,NC_086206.1,23122349,707581,476,0.030601605,Chromosome
melospiza_melodia,14,NC_086207.1,21031278,717007,422,0.034092412,Chromosome
melospiza_melodia,15,NC_086208.1,20962327,797059,473,0.038023403,Chromosome
melospiza_melodia,16,NC_086209.1,20781294,572748,396,0.027560748,Chromosome
melospiza_melodia,17,NC_086210.1,17093058,76572,165,0.004479713,Chromosome
melospiza_melodia,18,NC_086211.1,16560389,757506,441,0.045742041,Chromosome
melospiza_melodia,19,NC_086212.1,16105544,600823,388,0.037305353,Chromosome
melospiza_melodia,20,NC_086213.1,15447346,671055,400,0.043441443,Chromosome
melospiza_melodia,21,NC_086214.1,14597642,573490,385,0.039286482,Chromosome
melospiza_melodia,22,NC_086215.1,13697673,550335,331,0.040177262,Chromosome
melospiza_melodia,23,NC_086216.1,13012218,317450,212,0.024396302,Chromosome
melospiza_melodia,24,NC_086217.1,12985511,625953,382,0.048203956,Chromosome
melospiza_melodia,25,NC_086218.1,12220939,471380,383,0.038571504,Chromosome
melospiza_melodia,26,NC_086219.1,10890703,473993,294,0.043522718,Chromosome
melospiza_melodia,27,NC_086220.1,10860949,389614,279,0.035872924,Chromosome
melospiza_melodia,28,NC_086221.1,9300130,447156,301,0.048080618,Chromosome
melospiza_melodia,29,NC_086222.1,9181374,305433,190,0.03326659,Chromosome
melospiza_melodia,30,NC_086223.1,7646334,484168,346,0.063320279,Chromosome
melospiza_melodia,31,NC_086224.1,3029240,311597,197,0.102863094,Chromosome
melospiza_melodia,W,NC_086225.1,59460375,160588,132,0.002700757,Chromosome
melospiza_melodia,Z,NC_086226.1,82773674,1452329,963,0.017545784,Chromosome
ovis_aries,1,NC_056054.1,278617202,3397627,3167,0.012194606,Chromosome
ovis_aries,2,NC_056055.1,250202058,2899581,2295,0.011588957,Chromosome
ovis_aries,3,NC_056056.1,226089100,3590673,2943,0.015881672,Chromosome
ovis_aries,4,NC_056057.1,121578099,1251159,1062,0.01029099,Chromosome
ovis_aries,5,NC_056058.1,108220788,2053351,1633,0.018973721,Chromosome
ovis_aries,6,NC_056059.1,118469697,1035829,869,0.008743409,Chromosome
ovis_aries,7,NC_056060.1,101274418,1605776,1376,0.015855692,Chromosome
ovis_aries,8,NC_056061.1,91792871,836526,712,0.009113191,Chromosome
ovis_aries,9,NC_056062.1,95179658,846423,746,0.008892898,Chromosome
ovis_aries,10,NC_056063.1,86459471,707428,568,0.008182192,Chromosome
ovis_aries,11,NC_056064.1,62547497,2006297,1641,0.032076375,Chromosome
ovis_aries,12,NC_056065.1,80403655,1211570,940,0.015068594,Chromosome
ovis_aries,13,NC_056066.1,83511835,1196716,1092,0.014329897,Chromosome
ovis_aries,14,NC_056067.1,66516657,2065044,1629,0.031045517,Chromosome
ovis_aries,15,NC_056068.1,82538637,1372371,1178,0.016627013,Chromosome
ovis_aries,16,NC_056069.1,71897364,571235,515,0.007945145,Chromosome
ovis_aries,17,NC_056070.1,73167223,1065470,848,0.014562122,Chromosome
ovis_aries,18,NC_056071.1,67984460,926645,873,0.013630247,Chromosome
ovis_aries,19,NC_056072.1,60561550,1018171,759,0.016812169,Chromosome
ovis_aries,20,NC_056073.1,51451717,1047225,1139,0.020353548,Chromosome
ovis_aries,21,NC_056074.1,47514194,1018931,824,0.021444771,Chromosome
ovis_aries,22,NC_056075.1,51512491,677485,557,0.013151859,Chromosome
ovis_aries,23,NC_056076.1,62440644,571219,470,0.009148192,Chromosome
ovis_aries,24,NC_056077.1,42630236,1238550,979,0.029053323,Chromosome
ovis_aries,25,NC_056078.1,44863754,543802,442,0.012121188,Chromosome
ovis_aries,26,NC_056079.1,45052359,388056,381,0.008613445,Chromosome
ovis_aries,X,NC_056080.1,143171725,1453355,1348,0.010151131,Chromosome
ovis_aries,Y,NC_082741.1,25917078,168270,151,0.00649263,Chromosome
ovis_canadensis,1,NC_091245.1,281153287,3286530,3730,0.01168946,Chromosome
ovis_canadensis,2,NC_091246.1,255615320,2834679,2536,0.011089629,Chromosome
ovis_canadensis,3,NC_091247.1,232287161,3495640,3291,0.015048787,Chromosome
ovis_canadensis,4,NC_091248.1,135672349,1210399,1201,0.008921486,Chromosome
ovis_canadensis,5,NC_091249.1,123219114,2002609,1819,0.016252422,Chromosome
ovis_canadensis,6,NC_091250.1,134193483,1011514,998,0.007537728,Chromosome
ovis_canadensis,7,NC_091251.1,113569052,1521820,1369,0.013399953,Chromosome
ovis_canadensis,8,NC_091252.1,103312485,848512,852,0.008213064,Chromosome
ovis_canadensis,9,NC_091253.1,105199356,817365,821,0.007769677,Chromosome
ovis_canadensis,10,NC_091254.1,100482889,674372,603,0.006711312,Chromosome
ovis_canadensis,11,NC_091255.1,71225399,1966662,1748,0.027611807,Chromosome
ovis_canadensis,12,NC_091256.1,91826741,1166071,1006,0.012698599,Chromosome
ovis_canadensis,13,NC_091257.1,98645217,1153355,1149,0.011691951,Chromosome
ovis_canadensis,14,NC_091258.1,80148007,2014480,1795,0.025134499,Chromosome
ovis_canadensis,15,NC_091259.1,91302204,1353782,1438,0.014827484,Chromosome
ovis_canadensis,16,NC_091260.1,85120388,554023,561,0.006508699,Chromosome
ovis_canadensis,17,NC_091261.1,83296283,1025604,899,0.012312722,Chromosome
ovis_canadensis,18,NC_091262.1,83831668,935513,955,0.011159422,Chromosome
ovis_canadensis,19,NC_091263.1,75183094,997687,797,0.013270098,Chromosome
ovis_canadensis,20,NC_091264.1,66766794,1006657,1249,0.01507721,Chromosome
ovis_canadensis,21,NC_091265.1,67427450,994157,983,0.014744099,Chromosome
ovis_canadensis,22,NC_091266.1,67206388,656573,586,0.009769503,Chromosome
ovis_canadensis,23,NC_091267.1,75639080,540446,511,0.007145063,Chromosome
ovis_canadensis,24,NC_091268.1,57398297,1210213,1091,0.021084476,Chromosome
ovis_canadensis,25,NC_091269.1,63407539,526664,680,0.008306015,Chromosome
ovis_canadensis,26,NC_091270.1,61156592,359194,410,0.005873349,Chromosome
ovis_canadensis,Y,NC_091271.1,21454454,147023,252,0.006852796,Chromosome
ovis_canadensis,X,NC_091727.1,145045549,1383530,1659,0.00953859,Chromosome
papio_cynocephalus,1,NC_044976.1,218172882,3496977,3088,0.016028468,Chromosome
papio_cynocephalus,2,NC_044977.1,193660750,2055593,1834,0.010614402,Chromosome
papio_cynocephalus,3,NC_044978.1,184919515,1386595,1352,0.00749837,Chromosome
papio_cynocephalus,4,NC_044979.1,182120902,2018023,1893,0.011080678,Chromosome
papio_cynocephalus,5,NC_044980.1,173900761,1605087,1497,0.009229902,Chromosome
papio_cynocephalus,6,NC_044981.1,167138247,1744273,1809,0.010436109,Chromosome
papio_cynocephalus,7,NC_044982.1,161768468,2292075,2134,0.014168861,Chromosome
papio_cynocephalus,8,NC_044983.1,140274886,1200744,1224,0.008559936,Chromosome
papio_cynocephalus,9,NC_044984.1,127591819,1857416,1573,0.014557485,Chromosome
papio_cynocephalus,10,NC_044985.1,126462689,1421238,1107,0.011238398,Chromosome
papio_cynocephalus,11,NC_044986.1,125913696,1369458,1227,0.010876164,Chromosome
papio_cynocephalus,12,NC_044987.1,123343450,2104744,1828,0.017064092,Chromosome
papio_cynocephalus,13,NC_044988.1,106849001,1400698,1191,0.013109135,Chromosome
papio_cynocephalus,14,NC_044989.1,106654974,1164725,1150,0.010920494,Chromosome
papio_cynocephalus,15,NC_044990.1,91985775,658075,667,0.007154095,Chromosome
papio_cynocephalus,16,NC_044991.1,91184193,1594986,1471,0.017491913,Chromosome
papio_cynocephalus,17,NC_044992.1,74525926,2012725,1530,0.027007045,Chromosome
papio_cynocephalus,18,NC_044993.1,72894408,1389946,1161,0.019067937,Chromosome
papio_cynocephalus,19,NC_044994.1,72123344,558186,571,0.007739325,Chromosome
papio_cynocephalus,20,NC_044995.1,50021108,2176646,1527,0.04351455,Chromosome
papio_cynocephalus,X,NC_044996.1,142711496,1270729,1043,0.008904181,Chromosome
papio_cynocephalus,Y,NC_044997.1,8309886,49352,50,0.00593895,Chromosome
parus_major,1,NC_031768.1,114059860,2138828,1488,0.018751803,Chromosome
parus_major,2,NC_031769.1,150265477,2448090,1732,0.016291766,Chromosome
parus_major,3,NC_031770.1,111636321,2204320,1476,0.019745545,Chromosome
parus_major,4,NC_031771.1,68030631,1391826,963,0.020458814,Chromosome
parus_major,5,NC_031774.1,61875929,1757229,1149,0.028399234,Chromosome
parus_major,6,NC_031775.1,34342011,971782,635,0.028297178,Chromosome
parus_major,7,NC_031776.1,37653027,1160395,633,0.030818107,Chromosome
parus_major,8,NC_031777.1,31324166,913547,628,0.029164288,Chromosome
parus_major,9,NC_031778.1,25106277,757586,541,0.030175163,Chromosome
parus_major,10,NC_031779.1,20202851,777271,494,0.038473332,Chromosome
parus_major,11,NC_031780.1,20315886,639617,480,0.031483589,Chromosome
parus_major,12,NC_031781.1,20466350,676424,435,0.033050544,Chromosome
parus_major,13,NC_031782.1,16480340,544656,377,0.033048833,Chromosome
parus_major,14,NC_031783.1,16193477,759628,462,0.046909506,Chromosome
parus_major,15,NC_031784.1,13820886,679160,452,0.04914012,Chromosome
parus_major,17,NC_031785.1,10486032,531581,328,0.0506942,Chromosome
parus_major,18,NC_031786.1,11572643,587178,377,0.050738453,Chromosome
parus_major,19,NC_031787.1,9871655,562496,375,0.056980922,Chromosome
parus_major,20,NC_031788.1,14661763,590429,403,0.040269987,Chromosome
parus_major,21,NC_031789.1,7693166,456425,285,0.05932863,Chromosome
parus_major,22,NC_031790.1,4276343,242403,193,0.056684649,Chromosome
parus_major,23,NC_031791.1,6655392,373838,273,0.056170696,Chromosome
parus_major,24,NC_031792.1,6808513,303284,191,0.044544822,Chromosome
parus_major,26,NC_031795.1,6596997,426565,303,0.064660481,Chromosome
parus_major,27,NC_031796.1,4327975,362020,246,0.083646509,Chromosome
parus_major,28,NC_031797.1,5101010,403982,275,0.079196473,Chromosome
parus_major,4A,NC_031772.1,19934923,570897,434,0.028638034,Chromosome
parus_major,1A,NC_031773.1,71365269,1539447,1069,0.021571375,Chromosome
parus_major,25LG1,NC_031793.1,1092960,145770,89,0.133371761,Chromosome
parus_major,25LG2,NC_031794.1,809223,115007,101,0.142120281,Chromosome
parus_major,LGE22,NC_031798.1,773534,75079,52,0.097059728,Chromosome
parus_major,Z,NC_031799.1,74514349,1366142,953,0.018333945,Chromosome
sciurus_vulgaris,1,NC_136461.1,213194295,3267177,2385,0.01532488,Chromosome
sciurus_vulgaris,2,NC_136462.1,204367342,3244136,2296,0.015874043,Chromosome
sciurus_vulgaris,3,NC_136463.1,189657161,3474841,2269,0.018321697,Chromosome
sciurus_vulgaris,4,NC_136464.1,187750930,1924843,1385,0.010252109,Chromosome
sciurus_vulgaris,5,NC_136465.1,181665744,2519182,1851,0.013867127,Chromosome
sciurus_vulgaris,6,NC_136466.1,173029059,1852148,1371,0.01070426,Chromosome
sciurus_vulgaris,7,NC_136467.1,162823747,1931483,1502,0.011862416,Chromosome
sciurus_vulgaris,8,NC_136468.1,153872958,2028549,1448,0.013183272,Chromosome
sciurus_vulgaris,9,NC_136469.1,146519342,1295944,932,0.008844866,Chromosome
sciurus_vulgaris,10,NC_136470.1,145285108,1606838,1201,0.011059895,Chromosome
sciurus_vulgaris,11,NC_136472.1,132263442,2581995,1992,0.019521607,Chromosome
sciurus_vulgaris,12,NC_136473.1,115298656,1404585,1019,0.012182145,Chromosome
sciurus_vulgaris,13,NC_136474.1,100599875,725938,592,0.007216092,Chromosome
sciurus_vulgaris,14,NC_136475.1,99237486,1190273,916,0.011994187,Chromosome
sciurus_vulgaris,15,NC_136476.1,90997183,1360633,941,0.014952474,Chromosome
sciurus_vulgaris,16,NC_136477.1,79696672,1706149,1220,0.021408033,Chromosome
sciurus_vulgaris,17,NC_136478.1,75034025,1849631,1404,0.024650564,Chromosome
sciurus_vulgaris,18,NC_136479.1,41577549,1205654,800,0.028997717,Chromosome
sciurus_vulgaris,19,NC_136480.1,33124187,320735,255,0.009682804,Chromosome
sciurus_vulgaris,X,NC_136471.1,138336059,1387294,1008,0.010028434,Chromosome
sciurus_vulgaris,Y,NC_136481.1,4036009,36742,19,0.009103548,Chromosome
suricata_suricatta,1,NC_043700.1,194221078,1704346,1644,0.008775289,Chromosome
suricata_suricatta,2,NC_043701.1,186708106,2279731,2062,0.012210134,Chromosome
suricata_suricatta,3,NC_043702.1,175818673,2530481,2089,0.014392561,Chromosome
suricata_suricatta,4,NC_043703.1,164972924,1666149,1657,0.01009953,Chromosome
suricata_suricatta,5,NC_043704.1,156026045,1570112,1606,0.01006314,Chromosome
suricata_suricatta,6,NC_043705.1,147861781,1628716,1594,0.011015125,Chromosome
suricata_suricatta,7,NC_043706.1,145467977,1747801,1800,0.012015022,Chromosome
suricata_suricatta,8,NC_043707.1,141453419,3011410,2647,0.021289058,Chromosome
suricata_suricatta,9,NC_043708.1,140082955,2203503,1996,0.015729987,Chromosome
suricata_suricatta,10,NC_043709.1,137167901,2072553,1858,0.015109606,Chromosome
suricata_suricatta,11,NC_043710.1,109239758,2184319,2021,0.019995641,Chromosome
suricata_suricatta,12,NC_043711.1,106191848,2452158,2110,0.023091773,Chromosome
suricata_suricatta,13,NC_043712.1,90215208,1365167,1171,0.015132338,Chromosome
suricata_suricatta,14,NC_043713.1,89425930,1248752,1119,0.013964093,Chromosome
suricata_suricatta,15,NC_043714.1,78599426,717000,764,0.009122204,Chromosome
suricata_suricatta,16,NC_043715.1,59306649,1717843,1490,0.028965437,Chromosome
suricata_suricatta,17,NC_043716.1,58591448,1887528,1550,0.032215077,Chromosome
suricata_suricatta,X,NC_043717.1,111476210,1170071,913,0.01049615,Chromosome
