SNP.Name,Chromosome,cM.Position.Sex.Averaged,cM.Position.Female,cM.Position.Male,Genome.Position.Oarv3.1
OAR1_2968995.1,1,4.737,1.499,11.27,3735231
OAR1_3066756.1,1,4.737,1.499,11.27,3839440
OAR1_3102603.1,1,4.737,1.499,11.27,3876116
s52352.1,1,4.737,1.499,11.27,3979626
s21404.1,1,4.737,1.499,11.27,4002045
s32601.1,1,5.047,1.499,11.995,4067600
s16211.1,1,5.047,1.499,11.995,4098040
s38787.1,1,5.37,1.825,12.389,4154546
OAR1_3412866.1,1,5.37,1.825,12.389,4174901
s11992.1,1,5.37,1.825,12.389,4246644
s50475.1,1,5.37,1.825,12.389,4254004
s45085.1,1,5.37,1.825,12.389,4263142
s63511.1,1,5.37,1.825,12.389,4301344
s00019.1,1,5.534,1.999,12.389,4363968
s08980.1,1,5.534,1.999,12.389,4387121
OAR1_3702014.1,1,5.534,1.999,12.389,4426292
DU299578_392.1,1,5.534,1.999,12.389,4561875
OAR1_3909359.1,1,5.67,1.999,12.902,4605863
OAR1_4068504.1,1,6.585,2.309,15.155,4772466
s65509.1,1,6.982,2.309,16.651,4887716
s15090.1,1,7.244,2.477,16.651,4951877
OAR1_4285092.1,1,7.244,2.477,16.651,4998140
OAR1_4303667.1,1,7.244,2.477,16.651,5016766
s03424.1,1,7.427,2.747,16.651,5078059
s09057.1,1,8.303,2.747,19.117,5145828
s05524.1,1,9.013,3.477,19.997,5231809
OAR1_4523214.1,1,9.013,3.477,19.997,5238612
s51981.1,1,9.013,3.477,19.997,5258389
s08276.1,1,9.013,3.477,19.997,5336729
s05306.1,1,9.013,3.477,19.997,5401708
s40431.1,1,9.199,3.477,20.414,5418102
s73618.1,1,9.199,3.477,20.414,5473827
OAR1_4935598.1,1,9.199,3.477,20.414,5562664
DU393582_347.1,1,9.314,3.57,20.414,5605415
OAR1_5058639.1,1,9.542,3.663,21.013,5682196
OAR1_5106728.1,1,9.542,3.663,21.013,5729978
s60381.1,1,9.542,3.663,21.013,5750260
OAR1_5206930.1,1,9.542,3.663,21.013,5783685
s62307.1,1,9.542,3.663,21.013,5843188
OAR1_5355855.1,1,9.722,3.824,21.231,5938634
s24029.1,1,9.722,3.824,21.231,5974588
OAR1_5436991.1,1,9.891,3.972,21.435,6024724
OAR1_5481707.1,1,9.891,3.972,21.435,6068719
s35058.1,1,10.074,4.035,21.821,6148701
s62012.1,1,10.271,4.108,22.229,6231252
s23238.1,1,10.271,4.108,22.229,6286448
DU453866_552.1,1,10.271,4.108,22.229,6366323
s61127.1,1,10.271,4.108,22.229,6408448
s01591.1,1,10.519,4.21,22.75,6468322
s23059.1,1,10.519,4.21,22.75,6480529
OAR1_6050410.1,1,10.548,4.21,22.75,6596126
s67547.1,1,11.205,4.711,23.885,6708911
s20120.1,1,11.205,4.711,23.885,6803550
s58937.1,1,11.578,4.779,23.885,6816172
OAR1_6316082.1,1,11.708,4.779,25.417,6867954
OAR1_6410322.1,1,12.068,5.151,25.417,6965862
s13861.1,1,12.068,5.151,25.417,7007092
OAR1_6531315.1,1,12.068,5.151,25.417,7080496
s30581.1,1,12.068,5.151,25.417,7171846
OAR1_6722309.1,1,12.068,5.151,25.417,7192190
OAR1_6888977.1,1,12.068,5.151,25.417,7362347
OAR1_6968054.1,1,12.068,5.151,25.417,7444909
OAR1_7018250.1,1,12.197,5.151,25.654,7494503
s24646.1,1,12.197,5.151,25.654,7556697
s03149.1,1,12.197,5.151,25.654,7572815
OAR1_7104917.1,1,12.197,5.151,25.654,7578311
s74740.1,1,12.473,5.51,25.927,7709936
s53274.1,1,12.473,5.51,25.927,7748239
OAR1_7376329.1,1,12.473,5.51,25.927,7766706
OAR1_7428857.1,1,12.473,5.51,25.927,7822385
OAR1_7546163.1,1,12.473,5.51,25.927,7939149
OAR1_7563736.1,1,12.731,5.86,25.927,7956997
DU290101_408.1,1,12.731,5.86,25.927,8059661
s54948.1,1,13.09,6.241,26.352,8215106
OAR1_7897015.1,1,13.09,6.241,26.352,8251348
s38038.1,1,13.09,6.241,26.352,8293625
s29615.1,1,13.09,6.241,26.352,8320942
s18895.1,1,13.09,6.241,26.352,8332050
s05493.1,1,13.41,6.241,27.23,8364799
OAR1_8082265.1,1,13.41,6.241,27.23,8429256
OAR1_8123245.1,1,13.796,6.559,27.626,8469331
s63488.1,1,13.796,6.559,27.626,8504278
s39567.1,1,14.525,7.106,28.659,8590717
s49872.1,1,14.775,7.264,29.049,8632095
s18552.1,1,14.891,7.264,29.465,8673690
s47936.1,1,14.891,7.264,29.465,8712926
s37400.1,1,14.891,7.264,29.465,8734126
s61237.1,1,15.003,7.346,29.663,8826615
s68090.1,1,15.003,7.346,29.663,8835276
s00447.1,1,15.09,7.448,29.663,8914372
s26362.1,1,15.192,7.625,29.663,8978097
s54418.1,1,15.82,8.11,30.536,9023748
s68509.1,1,15.82,8.11,30.536,9059225
s54247.1,1,15.82,8.11,30.536,9163620
s73085.1,1,15.82,8.11,30.536,9205489
s67178.1,1,15.82,8.11,30.536,9216738
OAR1_8918549.1,1,15.929,8.11,30.964,9225672
OAR1_8932175.1,1,15.929,8.11,30.964,9241769
s68925.1,1,15.929,8.11,30.964,9293276
s52639.1,1,16.063,8.261,30.964,9441381
OAR1_9179437_X.1,1,16.063,8.261,30.964,9493388
s30516.1,1,16.165,8.412,30.964,9514890
s11687.1,1,16.165,8.412,30.964,9558392
OAR1_9265710.1,1,16.165,8.412,30.964,9577866
s59084.1,1,16.887,8.864,32.041,9715560
s10625.1,1,16.887,8.864,32.041,9829472
OAR1_9563208.1,1,17.405,9.251,32.532,9866329
OAR1_9747314.1,1,17.552,9.617,32.532,10023298
OAR1_9822302.1,1,17.552,9.617,32.532,10103593
OAR1_9881817.1,1,17.552,9.617,32.532,10158329
OAR1_9944815.1,1,17.552,9.617,32.532,10227224
s35616.1,1,17.552,9.617,32.532,10341090
s09058.1,1,17.552,9.617,32.532,10372472
OAR1_10097556.1,1,17.564,9.78,32.532,10381628
s13591.1,1,17.576,9.949,32.532,10436009
OAR1_10275031.1,1,17.618,9.949,32.551,10546581
s05797.1,1,17.654,9.949,32.568,10557584
OAR1_10344180.1,1,17.769,9.949,32.741,10622983
OAR1_10362883.1,1,17.769,9.949,32.741,10641864
OAR1_10454967.1,1,17.838,10.048,32.741,10728279
s62349.1,1,17.838,10.048,32.741,10775824
OAR1_10554666.1,1,18.201,10.354,33.367,10825577
OAR1_10582459.1,1,18.427,10.593,33.585,10853425
s40611.1,1,18.667,10.85,33.815,10965335
s44128.1,1,18.877,11.056,33.992,11155061
s64317.1,1,18.877,11.056,33.992,11193919
s50136.1,1,18.877,11.056,33.992,11233635
s54667.1,1,18.877,11.056,33.992,11240410
OAR1_10940722_X.1,1,18.877,11.056,33.992,11277100
OAR1_10974811.1,1,19.382,11.594,33.992,11305521
s55981.1,1,19.382,11.594,33.992,11347838
s27280.1,1,19.382,11.594,33.992,11396852
OAR1_11087132.1,1,19.382,11.594,33.992,11411955
s53592.1,1,19.775,11.755,35.1,11513707
s57753.1,1,19.775,11.755,35.1,11527242
s62446.1,1,19.775,11.755,35.1,11569144
s68301.1,1,19.775,11.755,35.1,11603004
s62112.1,1,19.775,11.755,35.1,11618911
s36441.1,1,19.775,11.755,35.1,11668576
s45518.1,1,19.775,11.755,35.1,11722412
s18449.1,1,19.775,11.755,35.1,11747642
s18875.1,1,19.775,11.755,35.1,11768264
s01320.1,1,19.902,11.902,35.1,11830112
OAR1_11563293.1,1,20.025,12.049,35.1,11852254
s60471.1,1,20.176,12.375,35.1,11914995
OAR1_11691321.1,1,20.176,12.375,35.1,11982306
OAR1_11766718.1,1,20.742,13.07,35.467,12057574
s15481.1,1,20.875,13.07,35.817,12216650
s00977.1,1,20.875,13.07,35.817,12301645
s76021.1,1,20.875,13.07,35.817,12330774
OAR1_12120651.1,1,20.875,13.07,35.817,12388712
OAR1_12153898.1,1,21.182,13.308,36.176,12429989
s26666.1,1,21.182,13.308,36.176,12475934
s29002.1,1,21.182,13.308,36.176,12522260
s45057.1,1,21.182,13.308,36.176,12550378
s70576.1,1,21.182,13.308,36.176,12706004
OAR1_12451373.1,1,21.182,13.308,36.176,12716280
s64523.1,1,21.182,13.308,36.176,12775585
s60191.1,1,21.182,13.308,36.176,12786356
OAR1_12656583.1,1,21.182,13.308,36.176,12823388
s37833.1,1,21.244,13.397,36.176,12848870
s68421.1,1,21.244,13.397,36.176,12875848
OAR1_12803672.1,1,21.244,13.397,36.176,12935982
s73231.1,1,21.244,13.397,36.176,12987139
OAR1_12937617.1,1,21.43,13.53,36.494,13062345
OAR1_13033760.1,1,21.43,13.53,36.494,13158858
OAR1_13042261.1,1,21.43,13.53,36.494,13167313
s62110.1,1,21.43,13.53,36.494,13226888
s07985.1,1,21.43,13.53,36.494,13309608
DU400167_253.1,1,21.43,13.53,36.494,13358209
s08475.1,1,21.719,13.796,36.84,13424665
OAR1_13393044.1,1,21.719,13.796,36.84,13502382
OAR1_13574541.1,1,22.106,14.125,37.315,13683389
OAR1_13582660.1,1,22.106,14.125,37.315,13691064
OAR1_13627234.1,1,22.106,14.125,37.315,13716153
s14277.1,1,22.106,14.125,37.315,13761431
s66530.1,1,22.106,14.125,37.315,13787866
OAR1_13714304.1,1,22.106,14.125,37.315,13805495
s52117.1,1,22.665,14.693,37.83,13955997
s58309.1,1,23.008,15.088,38.107,14017062
s61250.1,1,23.008,15.088,38.107,14060408
s45194.1,1,23.008,15.088,38.107,14068312
OAR1_13964618.1,1,23.008,15.088,38.107,14093224
OAR1_13970060.1,1,23.008,15.088,38.107,14099180
s41432.1,1,23.478,15.556,38.5,14242876
DU518561_359.1,1,23.478,15.556,38.5,14316730
s57394.1,1,23.478,15.556,38.5,14350183
OAR1_14273769.1,1,23.637,15.69,38.638,14421144
OAR1_14315581.1,1,23.637,15.69,38.638,14454422
OAR1_14544239.1,1,23.85,16.08,38.638,14691551
s43849.1,1,24.045,16.326,38.638,14722371
OAR1_14614448.1,1,24.045,16.326,38.638,14764585
OAR1_14620644.1,1,24.045,16.326,38.638,14771579
OAR1_14717841.1,1,24.045,16.326,38.638,14844219
OAR1_14777475.1,1,24.045,16.326,38.638,14898732
s70168.1,1,24.045,16.326,38.638,14935560
s71739.1,1,24.045,16.326,38.638,14970746
OAR1_14973022.1,1,24.141,16.416,38.638,15017620
s55606.1,1,24.427,16.601,39.278,15117118
s01338.1,1,24.427,16.601,39.278,15143339
OAR1_15188542.1,1,24.427,16.601,39.278,15237402
OAR1_15228673.1,1,24.427,16.601,39.278,15274271
OAR1_15256499.1,1,24.427,16.601,39.278,15306352
OAR1_15484095.1,1,24.524,16.601,39.734,15527286
OAR1_15525913.1,1,25.095,17.331,39.747,15566031
s19593.1,1,25.838,17.662,41.546,15697768
OAR1_15762141.1,1,25.838,17.662,41.546,15765887
s52476.1,1,25.838,17.662,41.546,15821739
s00481.1,1,26.02,17.946,41.546,15853511
s44894.1,1,26.02,17.946,41.546,15881949
s28376.1,1,26.907,18.705,42.519,15948720
s05916.1,1,26.996,18.705,42.519,16008656
s49722.1,1,27.058,18.942,42.519,16064349
s27971.1,1,27.118,19.082,42.794,16147225
s01031.1,1,27.118,19.082,42.794,16176988
OAR1_16274081.1,1,27.298,19.21,43.039,16272811
OAR1_16348823_X.1,1,27.466,19.326,43.268,16343115
OAR1_16391522.1,1,27.643,19.451,43.51,16378991
s46756.1,1,27.643,19.451,43.51,16465248
OAR1_16572940.1,1,27.643,19.451,43.51,16586526
OAR1_16697706.1,1,27.643,19.451,43.51,16712240
OAR1_16795469.1,1,28.087,19.989,43.51,16810918
OAR1_16852861.1,1,28.087,19.989,43.51,16899077
OAR1_16975351.1,1,28.087,19.989,43.51,16948266
s62022.1,1,28.087,19.989,43.51,17003571
s23433.1,1,28.087,19.989,43.51,17038771
OAR1_17163931.1,1,28.65,20.536,43.51,17097896
s38279.1,1,28.65,20.536,43.51,17151167
s60080.1,1,28.65,20.536,43.51,17180199
s58391.1,1,28.839,20.536,44.576,17278400
OAR1_17351278.1,1,28.839,20.536,44.576,17283773
OAR1_17421390.1,1,28.92,20.536,44.96,17354256
OAR1_17426826.1,1,28.92,20.536,44.96,17361209
OAR1_17466323.1,1,29.436,20.925,45.687,17403806
s25913.1,1,29.436,20.925,45.687,17473274
s54037.1,1,29.759,21.314,45.906,17729311
s35095.1,1,29.759,21.314,45.906,17884528
OAR1_18052854.1,1,29.759,21.314,45.906,17904198
s61691.1,1,29.759,21.314,45.906,17964972
s62337.1,1,29.759,21.314,45.906,18049756
s58659.1,1,29.823,21.314,46.038,18097028
OAR1_18293636.1,1,29.823,21.314,46.038,18135356
OAR1_18300122.1,1,29.823,21.314,46.038,18141837
s74275.1,1,29.823,21.314,46.038,18240132
OAR1_18449705.1,1,29.823,21.314,46.038,18298255
OAR1_18512294.1,1,29.823,21.314,46.038,18320945
s06310.1,1,30.047,21.545,46.281,18360283
OAR1_18664902.1,1,30.047,21.545,46.281,18469241
OAR1_18691972.1,1,30.047,21.545,46.281,18494158
s14459.1,1,30.047,21.545,46.281,18582753
s72347.1,1,30.047,21.545,46.281,18632538
s00086.1,1,30.047,21.545,46.281,18668192
s32983.1,1,30.211,21.734,46.322,18695502
OAR1_18966270.1,1,30.226,21.734,46.467,18773114
s11269.1,1,30.24,21.734,46.608,18800532
DU202534_254.1,1,30.24,21.734,46.608,18803224
s40222.1,1,30.24,21.734,46.608,18908522
s54068.1,1,30.24,21.734,46.608,18960866
s10307.1,1,30.614,22.258,46.608,19003874
OAR1_19152280.1,1,30.614,22.258,46.608,19027134
OAR1_19174177.1,1,30.614,22.258,46.608,19048510
OAR1_19214328_X.1,1,30.614,22.258,46.608,19087646
s27712.1,1,31.087,22.897,46.608,19146157
s29702.1,1,31.087,22.897,46.608,19277933
OAR1_19444938.1,1,31.087,22.897,46.608,19319317
OAR1_19750493.1,1,31.087,22.897,46.608,19642265
OAR1_19761666.1,1,31.087,22.897,46.608,19654996
OAR1_19817567.1,1,31.087,22.897,46.608,19716867
s32787.1,1,31.087,22.897,46.608,19742061
OAR1_19875829.1,1,31.087,22.897,46.608,19774888
OAR1_20007545.1,1,31.087,22.897,46.608,19939524
OAR1_20035449.1,1,31.087,22.897,46.608,19970769
s05208.1,1,31.087,22.897,46.608,20014904
OAR1_20118195.1,1,31.087,22.897,46.608,20049561
OAR1_20180147_X.1,1,31.087,22.897,46.608,20099767
s37676.1,1,31.087,22.897,46.608,20130161
OAR1_20926901.1,1,31.608,23.434,47.058,20792252
OAR1_21078445.1,1,31.608,23.434,47.058,20948352
s53426.1,1,31.608,23.434,47.058,21034048
s72819.1,1,31.608,23.434,47.058,21085565
s68037.1,1,31.608,23.434,47.058,21132185
OAR1_21408870.1,1,32.051,23.969,47.348,21338000
OAR1_21439660.1,1,32.051,23.969,47.348,21480663
s21134.1,1,32.051,23.969,47.348,21485616
s14078.1,1,32.051,23.969,47.348,21520656
OAR1_21607699.1,1,32.271,24.263,47.348,21557161
OAR1_21646425.1,1,32.287,24.294,47.348,21598497
OAR1_21703182.1,1,32.497,24.554,47.348,21654955
s34237.1,1,32.702,24.924,47.613,21837886
s33844.1,1,32.702,24.924,47.613,21899028
s07849.1,1,32.702,24.924,47.613,21950469
s05262.1,1,33.041,24.924,48.296,21959783
s19691.1,1,33.041,24.924,48.296,21973809
s61132.1,1,33.324,25.481,48.296,22071304
s01249.1,1,33.522,25.63,48.498,22122845
OAR1_22183990.1,1,33.522,25.63,48.498,22136099
OAR1_22189406.1,1,33.522,25.63,48.498,22141488
s75232.1,1,33.522,25.63,48.498,22217108
s13809.1,1,33.522,25.63,48.498,22224050
OAR1_22330907.1,1,33.522,25.63,48.498,22280192
s73188.1,1,33.522,25.63,48.498,22314998
s11844.1,1,33.522,25.63,48.498,22377080
s33540.1,1,33.522,25.63,48.498,22443318
s00707.1,1,33.669,25.758,48.869,22521412
s75089.1,1,33.669,25.758,48.869,22529742
s63953.1,1,33.669,25.758,48.869,22544268
OAR1_22656259.1,1,33.669,25.758,48.869,22567752
OAR1_22697949.1,1,33.827,25.903,48.869,22600348
OAR1_22710021.1,1,33.827,25.903,48.869,22611877
OAR1_22739177.1,1,33.827,25.903,48.869,22642211
OAR1_22803831.1,1,33.827,25.903,48.869,22709544
s26645.1,1,33.827,25.903,48.869,22737885
s27454.1,1,33.827,25.903,48.869,22782029
s65534.1,1,33.827,25.903,48.869,22837032
OAR1_22985927.1,1,33.882,25.994,48.869,22895020
s26299.1,1,33.882,25.994,48.869,22972628
s32095.1,1,33.882,25.994,48.869,22999661
s10605.1,1,33.882,25.994,48.869,23026552
OAR1_23123932.1,1,33.882,25.994,48.869,23044548
s67590.1,1,33.882,25.994,48.869,23101966
OAR1_23195620.1,1,33.882,25.994,48.869,23117038
OAR1_23288187.1,1,33.882,25.994,48.869,23213302
s43410.1,1,34.086,26.259,48.869,23262754
OAR1_23369763.1,1,34.264,26.411,49.22,23294379
OAR1_23447504.1,1,34.264,26.411,49.22,23376407
OAR1_23560552.1,1,34.264,26.411,49.22,23486511
OAR1_23620328.1,1,34.264,26.411,49.22,23540948
OAR1_23632541.1,1,34.264,26.411,49.22,23552875
OAR1_23724877.1,1,34.264,26.411,49.22,23642725
OAR1_23734999.1,1,34.264,26.411,49.22,23651580
OAR1_23804013_X.1,1,34.264,26.411,49.22,23709900
OAR1_23837231.1,1,34.264,26.411,49.22,23739280
OAR1_23937981.1,1,34.264,26.411,49.22,23846290
OAR1_23977779.1,1,34.264,26.411,49.22,23878767
OAR1_23990063.1,1,34.264,26.411,49.22,23888952
DU379505_529.1,1,34.264,26.411,49.22,23952498
OAR1_24165388.1,1,34.264,26.411,49.22,24104855
OAR1_24228078.1,1,34.264,26.411,49.22,24135839
OAR1_24326418.1,1,34.264,26.411,49.22,24181124
OAR1_24546509.1,1,34.264,26.411,49.22,24332025
OAR1_24574732.1,1,34.264,26.411,49.22,24362394
OAR1_24633611.1,1,34.401,26.565,49.22,24422906
OAR1_24663779.1,1,34.401,26.565,49.22,24453219
s21860.1,1,34.401,26.565,49.22,24538073
OAR1_24797111.1,1,34.401,26.565,49.22,24578785
OAR1_24812678.1,1,34.401,26.565,49.22,24593299
s72632.1,1,34.401,26.565,49.22,24652810
OAR1_25052307.1,1,34.401,26.565,49.22,24832808
OAR1_25075310.1,1,34.401,26.565,49.22,24856670
OAR1_25121292.1,1,34.401,26.565,49.22,24901207
OAR1_25426384.1,1,34.401,26.565,49.22,25190083
OAR1_25604801.1,1,34.437,26.669,49.22,25319915
OAR1_25728954.1,1,34.796,26.962,49.634,25458108
s00731.1,1,34.796,26.962,49.634,25520349
OAR1_25834328.1,1,34.796,26.962,49.634,25552735
OAR1_25842722.1,1,34.796,26.962,49.634,25561238
OAR1_25922572.1,1,34.796,26.962,49.634,25643415
OAR1_25947606.1,1,34.796,26.962,49.634,25666754
OAR1_26031175.1,1,34.796,26.962,49.634,25750178
OAR1_26064552.1,1,34.796,26.962,49.634,25783422
OAR1_26088084.1,1,34.796,26.962,49.634,25807080
OAR1_26129820.1,1,34.796,26.962,49.634,25850121
OAR1_26135770.1,1,34.796,26.962,49.634,25854799
OAR1_26340680.1,1,34.796,26.962,49.634,25879029
OAR1_26198156.1,1,34.796,26.962,49.634,25925373
s31015.1,1,34.796,26.962,49.634,25932152
OAR1_26268431.1,1,34.796,26.962,49.634,25994480
OAR1_26667396.1,1,34.796,26.962,49.634,26395324
OAR1_26705881.1,1,34.796,26.962,49.634,26431692
OAR1_26910607.1,1,34.796,26.962,49.634,26639102
OAR1_26961444.1,1,34.796,26.962,49.634,26662513
OAR1_27060195.1,1,34.796,26.962,49.634,26751408
s74202.1,1,34.796,26.962,49.634,26812077
OAR1_27161849.1,1,34.796,26.962,49.634,26849693
OAR1_27200925.1,1,34.796,26.962,49.634,26889226
OAR1_27215234.1,1,34.796,26.962,49.634,26901948
OAR1_27291243.1,1,34.796,26.962,49.634,26975517
OAR1_27347434.1,1,35.036,27.657,49.634,27039579
OAR1_27431644.1,1,35.276,27.657,49.839,27120678
OAR1_27460193.1,1,35.276,27.657,49.839,27155241
s29707.1,1,35.276,27.657,49.839,27185908
OAR1_27539263.1,1,35.276,27.657,49.839,27275897
OAR1_27632403.1,1,35.276,27.657,49.839,27287535
s71629.1,1,35.276,27.657,49.839,27398178
OAR1_27815024.1,1,35.276,27.657,49.839,27468042
s57436.1,1,35.722,28.169,50.131,27653531
s69885.1,1,35.722,28.169,50.131,27713751
s02497.1,1,35.722,28.169,50.131,27726177
s46623.1,1,36.538,29.137,50.846,27779337
s61441.1,1,36.538,29.137,50.846,27895772
s47478.1,1,36.87,29.137,51.516,27998157
OAR1_28512428.1,1,36.87,29.137,51.516,28053649
s03528.1,1,36.87,29.137,51.516,28125498
OAR1_28632121.1,1,37.306,29.494,52.116,28171796
OAR1_28670724.1,1,37.306,29.494,52.116,28191610
OAR1_28678534.1,1,37.306,29.494,52.116,28221350
s38237.1,1,37.306,29.494,52.116,28318326
s43026.1,1,37.306,29.494,52.116,28342811
OAR1_28807538.1,1,37.306,29.494,52.116,28351421
OAR1_28982601.1,1,37.306,29.494,52.116,28392308
s03859.1,1,37.306,29.494,52.116,28442294
s52292.1,1,37.615,29.904,52.381,28475105
OAR1_29148829.1,1,37.681,29.93,52.441,28558011
s47050.1,1,37.74,29.953,52.492,28591520
s14002.1,1,37.74,29.953,52.492,28647777
OAR1_29299710.1,1,37.74,29.953,52.492,28706320
s01632.1,1,37.74,29.953,52.492,28748336
s02548.1,1,37.74,29.953,52.492,28785578
s75178.1,1,37.74,29.953,52.492,28795354
s54084.1,1,37.875,29.953,53.066,28918937
s45910.1,1,37.875,29.953,53.066,28979692
s70733.1,1,37.875,29.953,53.066,29058211
s43731.1,1,38.588,30.687,53.583,29139418
OAR1_29821208.1,1,38.588,30.687,53.583,29201615
OAR1_29872607.1,1,38.588,30.687,53.583,29252531
s32583.1,1,38.588,30.687,53.583,29283748
OAR1_30001452.1,1,38.588,30.687,53.583,29347753
s24782.1,1,38.835,30.87,53.917,29407784
s25724.1,1,38.835,30.87,53.917,29458419
OAR1_30154789.1,1,38.835,30.87,53.917,29503793
OAR1_30207692.1,1,38.835,30.87,53.917,29555014
s36900.1,1,38.835,30.87,53.917,29581185
OAR1_30241364.1,1,38.896,30.964,53.917,29587606
OAR1_30320883.1,1,38.896,30.964,53.917,29668504
s34112.1,1,38.896,30.964,53.917,29695048
OAR1_30388117.1,1,39.278,31.479,53.917,29732489
OAR1_30397578.1,1,39.278,31.479,53.917,29742664
OAR1_30457351.1,1,39.278,31.479,53.917,29815556
OAR1_30552484.1,1,39.278,31.479,53.917,29914606
s11621.1,1,39.278,31.479,53.917,30075465
OAR1_30673378.1,1,39.278,31.479,53.917,30096508
OAR1_30798950.1,1,39.697,31.824,54.701,30143388
OAR1_30877408.1,1,39.697,31.824,54.701,30230748
OAR1_30938989.1,1,39.697,31.824,54.701,30289572
OAR1_30968801.1,1,39.697,31.824,54.701,30326020
s15443.1,1,39.697,31.824,54.701,30362395
OAR1_31068766.1,1,39.697,31.824,54.701,30425582
OAR1_31076790.1,1,39.697,31.824,54.701,30433365
OAR1_31126491.1,1,39.876,32.078,54.701,30493193
s42235.1,1,39.876,32.078,54.701,30549250
OAR1_31287571.1,1,40.271,32.496,55.066,30634108
OAR1_31319029.1,1,40.271,32.496,55.066,30664376
s19645.1,1,40.271,32.496,55.066,30721079
OAR1_31385712.1,1,40.271,32.496,55.066,30731456
OAR1_31410797.1,1,40.271,32.496,55.066,30753893
OAR1_31470501.1,1,40.511,32.746,55.305,30814041
OAR1_31693459.1,1,40.511,32.746,55.305,31007858
OAR1_31750547_X.1,1,40.511,32.746,55.305,31064860
OAR1_31791056.1,1,40.511,32.746,55.305,31102078
s57286.1,1,40.687,32.981,55.305,31172198
OAR1_31915752.1,1,40.687,32.981,55.305,31234220
OAR1_32040848.1,1,41.217,33.501,55.891,31359136
OAR1_32080179.1,1,41.217,33.501,55.891,31397543
OAR1_32169633.1,1,41.427,33.744,55.891,31490350
OAR1_32201653.1,1,41.927,34.001,56.956,31522785
s51521.1,1,41.927,34.001,56.956,31561046
s20982.1,1,41.927,34.001,56.956,31631166
OAR1_32336568.1,1,41.927,34.001,56.956,31654151
s45780.1,1,41.927,34.001,56.956,31730380
OAR1_32448869.1,1,41.927,34.001,56.956,31768869
OAR1_32611128_X.1,1,42.928,35.19,57.673,31870673
s71991.1,1,42.928,35.19,57.673,31918917
s48022.1,1,42.928,35.19,57.673,31986697
OAR1_32552631.1,1,43.038,35.348,57.673,31993079
s23738.1,1,43.038,35.348,57.673,32034706
s12059.1,1,43.038,35.348,57.673,32068787
s54055.1,1,43.038,35.348,57.673,32089372
OAR1_32866715.1,1,43.038,35.348,57.673,32125973
OAR1_32906689.1,1,43.038,35.348,57.673,32165462
s70438.1,1,43.038,35.348,57.673,32210437
